CustomerID,Churn_ID,Churn
C0219,CHN219,No
C0220,CHN220,No
C0221,CHN221,Yes
C0222,CHN222,No
C0223,CHN223,No
C0224,CHN224,Yes
C0225,CHN225,No
C0226,CHN226,No
C0227,CHN227,No
C0228,CHN228,Yes
C0229,CHN229,No
C0230,CHN230,No
C0231,CHN231,No
C0232,CHN232,No
C0233,CHN233,Yes
C0234,CHN234,No
C0235,CHN235,No
C0236,CHN236,Yes
C0237,CHN237,No
C0238,CHN238,No
C0239,CHN239,Yes
C0240,CHN240,No
C0241,CHN241,No
C0242,CHN242,No
C0243,CHN243,No
C0244,CHN244,No
C0245,CHN245,No
C0246,CHN246,No
C0247,CHN247,No
C0248,CHN248,Yes
C0249,CHN249,Yes
C0250,CHN250,No
C0251,CHN251,No
C0252,CHN252,Yes
C0253,CHN253,Yes
C0254,CHN254,No
C0255,CHN255,No
C0256,CHN256,No
C0257,CHN257,No
C0258,CHN258,No
C0259,CHN259,Yes
C0260,CHN260,No
C0261,CHN261,Yes
C0262,CHN262,Yes
C0263,CHN263,No
C0264,CHN264,No
C0265,CHN265,No
C0266,CHN266,No
C0267,CHN267,No
C0268,CHN268,No
C0269,CHN269,Yes
C0270,CHN270,No
C0271,CHN271,Yes
C0272,CHN272,No
C0273,CHN273,Yes
C0274,CHN274,No
C0275,CHN275,Yes
C0276,CHN276,Yes
C0277,CHN277,Yes
C0278,CHN278,No
C0279,CHN279,No
C0280,CHN280,No
C0281,CHN281,No
C0282,CHN282,No
C0283,CHN283,No
C0284,CHN284,No
C0285,CHN285,Yes
C0286,CHN286,No
C0287,CHN287,No
C0288,CHN288,Yes
C0289,CHN289,Yes
C0290,CHN290,Yes
C0291,CHN291,Yes
C0292,CHN292,No
C0293,CHN293,No
C0294,CHN294,No
C0295,CHN295,No
C0296,CHN296,No
C0297,CHN297,No
C0298,CHN298,No
C0299,CHN299,No
C0300,CHN300,Yes
C0301,CHN301,No
C0302,CHN302,Yes
C0303,CHN303,No
C0304,CHN304,No
C0305,CHN305,No
C0306,CHN306,No
C0307,CHN307,Yes
C0308,CHN308,No
C0309,CHN309,No
C0310,CHN310,No
C0311,CHN311,No
C0312,CHN312,No
C0313,CHN313,No
C0314,CHN314,No
C0315,CHN315,Yes
C0316,CHN316,No
C0317,CHN317,No
C0318,CHN318,Yes
C0319,CHN319,Yes
C0320,CHN320,No
C0321,CHN321,Yes
C0322,CHN322,No
C0323,CHN323,No
C0324,CHN324,No
C0325,CHN325,No
C0326,CHN326,No
C0327,CHN327,No
C0328,CHN328,Yes
C0329,CHN329,No
C0330,CHN330,No
C0331,CHN331,No
C0332,CHN332,No
C0333,CHN333,No
C0334,CHN334,Yes
C0335,CHN335,Yes
C0336,CHN336,Yes
C0337,CHN337,Yes
C0338,CHN338,No
C0339,CHN339,No
C0340,CHN340,Yes
C0341,CHN341,No
C0342,CHN342,No
C0343,CHN343,No
C0344,CHN344,No
C0345,CHN345,No
C0346,CHN346,No
C0347,CHN347,Yes
C0348,CHN348,No
C0349,CHN349,No
C0350,CHN350,No
C0351,CHN351,No
C0352,CHN352,No
C0353,CHN353,No
C0354,CHN354,Yes
C0355,CHN355,Yes
C0356,CHN356,Yes
C0357,CHN357,No
C0358,CHN358,No
C0359,CHN359,Yes
C0360,CHN360,No
C0361,CHN361,No
C0362,CHN362,No
C0363,CHN363,No
C0364,CHN364,No
C0365,CHN365,No
C0366,CHN366,Yes
C0367,CHN367,No
C0368,CHN368,No
C0369,CHN369,No
C0370,CHN370,No
C0371,CHN371,No
C0372,CHN372,Yes
C0373,CHN373,No
C0374,CHN374,No
C0375,CHN375,No
C0376,CHN376,No
C0377,CHN377,No
C0378,CHN378,Yes
C0379,CHN379,No
C0380,CHN380,No
C0381,CHN381,No
C0382,CHN382,Yes
C0383,CHN383,No
C0384,CHN384,Yes
C0385,CHN385,No
C0386,CHN386,Yes
C0387,CHN387,Yes
C0388,CHN388,No
C0389,CHN389,No
C0390,CHN390,No
C0391,CHN391,No
C0392,CHN392,No
C0393,CHN393,No
C0394,CHN394,No
C0395,CHN395,No
C0396,CHN396,No
C0397,CHN397,No
C0398,CHN398,Yes
C0399,CHN399,No
C0400,CHN400,No
C0401,CHN401,No
C0402,CHN402,No
C0403,CHN403,Yes
C0404,CHN404,No
C0405,CHN405,No
C0406,CHN406,No
C0407,CHN407,No
C0408,CHN408,No
C0409,CHN409,Yes
C0410,CHN410,Yes
C0411,CHN411,Yes
C0412,CHN412,No
C0413,CHN413,No
C0414,CHN414,No
C0415,CHN415,No
C0416,CHN416,No
C0417,CHN417,No
C0418,CHN418,No
C0419,CHN419,Yes
C0420,CHN420,Yes
C0421,CHN421,No
C0422,CHN422,No
C0423,CHN423,No
C0424,CHN424,No
C0425,CHN425,No
C0426,CHN426,No
C0427,CHN427,No
C0428,CHN428,No
C0429,CHN429,No
C0430,CHN430,No
C0431,CHN431,Yes
C0432,CHN432,No
C0433,CHN433,No
C0434,CHN434,Yes
C0435,CHN435,No
C0436,CHN436,No
C0437,CHN437,No
C0438,CHN438,No
C0439,CHN439,No
C0440,CHN440,No
C0441,CHN441,No
C0442,CHN442,No
C0443,CHN443,No
C0444,CHN444,No
C0445,CHN445,No
C0446,CHN446,Yes
C0447,CHN447,Yes
C0448,CHN448,No
C0449,CHN449,No
C0450,CHN450,No
C0451,CHN451,No
C0452,CHN452,No
C0453,CHN453,No
C0454,CHN454,Yes
C0455,CHN455,No
C0456,CHN456,No
C0457,CHN457,No
C0458,CHN458,No
C0459,CHN459,No
C0460,CHN460,No
C0461,CHN461,No
C0462,CHN462,No
C0463,CHN463,Yes
C0464,CHN464,Yes
C0465,CHN465,No
C0466,CHN466,No
C0467,CHN467,No
C0468,CHN468,No
C0469,CHN469,No
C0470,CHN470,Yes
C0471,CHN471,No
C0472,CHN472,Yes
C0473,CHN473,No
C0474,CHN474,No
C0475,CHN475,Yes
C0476,CHN476,Yes
C0477,CHN477,No
C0478,CHN478,No
C0479,CHN479,Yes
C0480,CHN480,Yes
C0481,CHN481,No
C0482,CHN482,Yes
C0483,CHN483,No
C0484,CHN484,No
C0485,CHN485,Yes
C0486,CHN486,No
C0487,CHN487,No
C0488,CHN488,No
C0489,CHN489,No
C0490,CHN490,Yes
C0491,CHN491,No
C0492,CHN492,No
C0493,CHN493,Yes
C0494,CHN494,No
C0495,CHN495,No
C0496,CHN496,Yes
C0497,CHN497,No
C0498,CHN498,No
C0499,CHN499,Yes
C0500,CHN500,Yes
C0501,CHN501,No
C0502,CHN502,No
C0503,CHN503,No
C0504,CHN504,No
C0505,CHN505,No
C0506,CHN506,Yes
C0507,CHN507,No
C0508,CHN508,Yes
C0509,CHN509,Yes
C0510,CHN510,No
C0511,CHN511,No
C0512,CHN512,No
C0513,CHN513,Yes
C0514,CHN514,No
C0515,CHN515,No
C0516,CHN516,Yes
C0517,CHN517,No
C0518,CHN518,No
C0519,CHN519,Yes
C0520,CHN520,No
C0521,CHN521,No
C0522,CHN522,No
C0523,CHN523,No
C0524,CHN524,Yes
C0525,CHN525,Yes
C0526,CHN526,No
C0527,CHN527,No
C0528,CHN528,No
C0529,CHN529,No
C0530,CHN530,No
C0531,CHN531,No
C0532,CHN532,No
C0533,CHN533,No
C0534,CHN534,No
C0535,CHN535,Yes
C0536,CHN536,No
C0537,CHN537,No
C0538,CHN538,No
C0539,CHN539,No
C0540,CHN540,No
C0541,CHN541,No
C0542,CHN542,No
C0543,CHN543,No
C0544,CHN544,Yes
C0545,CHN545,Yes
C0546,CHN546,No
C0547,CHN547,Yes
C0548,CHN548,No
C0549,CHN549,No
C0550,CHN550,No
C0551,CHN551,No
C0552,CHN552,No
C0553,CHN553,No
C0554,CHN554,No
C0555,CHN555,Yes
C0556,CHN556,No
C0557,CHN557,No
C0558,CHN558,No
C0559,CHN559,No
C0560,CHN560,No
C0561,CHN561,No
C0562,CHN562,No
C0563,CHN563,No
C0564,CHN564,No
C0565,CHN565,No
C0566,CHN566,No
C0567,CHN567,No
C0568,CHN568,No
C0569,CHN569,Yes
C0570,CHN570,No
C0571,CHN571,No
C0572,CHN572,No
C0573,CHN573,No
C0574,CHN574,Yes
C0575,CHN575,No
C0576,CHN576,No
C0577,CHN577,No
C0578,CHN578,No
C0579,CHN579,No
C0580,CHN580,No
C0581,CHN581,Yes
C0582,CHN582,Yes
C0583,CHN583,Yes
C0584,CHN584,No
C0585,CHN585,No
C0586,CHN586,Yes
C0587,CHN587,No
C0588,CHN588,No
C0589,CHN589,No
C0590,CHN590,No
C0591,CHN591,No
C0592,CHN592,No
C0593,CHN593,No
C0594,CHN594,No
C0595,CHN595,No
C0596,CHN596,Yes
C0597,CHN597,No
C0598,CHN598,No
C0599,CHN599,No
C0600,CHN600,No
C0601,CHN601,No
C0602,CHN602,No
C0603,CHN603,No
C0604,CHN604,No
C0605,CHN605,No
C0606,CHN606,No
C0607,CHN607,No
C0608,CHN608,No
C0609,CHN609,No
C0610,CHN610,Yes
C0611,CHN611,Yes
C0612,CHN612,Yes
C0613,CHN613,No
C0614,CHN614,No
C0615,CHN615,No
C0616,CHN616,No
C0617,CHN617,No
C0618,CHN618,No
C0619,CHN619,No
C0620,CHN620,No
C0621,CHN621,No
C0622,CHN622,No
C0623,CHN623,No
C0624,CHN624,No
C0625,CHN625,Yes
C0626,CHN626,No
C0627,CHN627,No
C0628,CHN628,No
C0629,CHN629,No
C0630,CHN630,Yes
C0631,CHN631,Yes
C0632,CHN632,No
C0633,CHN633,No
C0634,CHN634,No
C0635,CHN635,No
C0636,CHN636,Yes
C0637,CHN637,No
C0638,CHN638,No
C0639,CHN639,Yes
C0640,CHN640,Yes
C0641,CHN641,No
C0642,CHN642,Yes
C0643,CHN643,Yes
C0644,CHN644,No
C0645,CHN645,No
C0646,CHN646,Yes
C0647,CHN647,Yes
C0648,CHN648,No
C0649,CHN649,Yes
C0650,CHN650,No
C0651,CHN651,Yes
C0652,CHN652,Yes
C0653,CHN653,No
C0654,CHN654,No
C0655,CHN655,Yes
C0656,CHN656,No
C0657,CHN657,No
C0658,CHN658,No
C0659,CHN659,Yes
C0660,CHN660,No
C0661,CHN661,Yes
C0662,CHN662,No
C0663,CHN663,No
C0664,CHN664,No
C0665,CHN665,No
C0666,CHN666,No
C0667,CHN667,Yes
C0668,CHN668,No
C0669,CHN669,Yes
C0670,CHN670,No
C0671,CHN671,No
C0672,CHN672,No
C0673,CHN673,Yes
C0674,CHN674,No
C0675,CHN675,Yes
C0676,CHN676,No
C0677,CHN677,No
C0678,CHN678,Yes
C0679,CHN679,No
C0680,CHN680,No
C0681,CHN681,Yes
C0682,CHN682,No
C0683,CHN683,No
C0684,CHN684,No
C0685,CHN685,No
C0686,CHN686,No
C0687,CHN687,No
C0688,CHN688,Yes
C0689,CHN689,No
C0690,CHN690,No
C0691,CHN691,No
C0692,CHN692,No
C0693,CHN693,No
C0694,CHN694,Yes
C0695,CHN695,No
C0696,CHN696,No
C0697,CHN697,No
C0698,CHN698,Yes
C0699,CHN699,No
C0700,CHN700,No
C0701,CHN701,No
C0702,CHN702,No
C0703,CHN703,No
C0704,CHN704,No
C0705,CHN705,No
C0706,CHN706,Yes
C0707,CHN707,No
C0708,CHN708,No
C0709,CHN709,No
C0710,CHN710,No
C0711,CHN711,Yes
C0712,CHN712,No
C0713,CHN713,No
C0714,CHN714,No
C0715,CHN715,No
C0716,CHN716,No
C0717,CHN717,No
C0718,CHN718,No
C0719,CHN719,No
C0720,CHN720,No
C0721,CHN721,No
C0722,CHN722,No
C0723,CHN723,Yes
C0724,CHN724,Yes
C0725,CHN725,Yes
C0726,CHN726,No
C0727,CHN727,No
C0728,CHN728,No
C0729,CHN729,Yes
C0730,CHN730,No
C0731,CHN731,Yes
C0732,CHN732,No
C0733,CHN733,No
C0734,CHN734,No
C0735,CHN735,No
C0736,CHN736,No
C0737,CHN737,No
C0738,CHN738,No
C0739,CHN739,No
C0740,CHN740,No
C0741,CHN741,No
C0742,CHN742,No
C0743,CHN743,Yes
C0744,CHN744,No
C0745,CHN745,No
C0746,CHN746,No
C0747,CHN747,No
C0748,CHN748,No
C0749,CHN749,No
C0750,CHN750,No
C0751,CHN751,No
C0752,CHN752,No
C0753,CHN753,No
C0754,CHN754,No
C0755,CHN755,No
C0756,CHN756,Yes
C0757,CHN757,No
C0758,CHN758,No
C0759,CHN759,Yes
C0760,CHN760,No
C0761,CHN761,No
C0762,CHN762,Yes
C0763,CHN763,Yes
C0764,CHN764,No
C0765,CHN765,No
C0766,CHN766,No
C0767,CHN767,No
C0768,CHN768,No
C0769,CHN769,No
C0770,CHN770,No
C0771,CHN771,No
C0772,CHN772,Yes
C0773,CHN773,Yes
C0774,CHN774,Yes
C0775,CHN775,Yes
C0776,CHN776,No
C0777,CHN777,No
C0778,CHN778,Yes
C0779,CHN779,No
C0780,CHN780,Yes
C0781,CHN781,No
C0782,CHN782,No
C0783,CHN783,No
C0784,CHN784,Yes
C0785,CHN785,No
C0786,CHN786,Yes
C0787,CHN787,No
C0788,CHN788,No
C0789,CHN789,No
C0790,CHN790,No
C0791,CHN791,No
C0792,CHN792,No
C0793,CHN793,No
C0794,CHN794,No
C0795,CHN795,No
C0796,CHN796,No
C0797,CHN797,No
C0798,CHN798,No
C0799,CHN799,No
C0800,CHN800,Yes
C0801,CHN801,No
C0802,CHN802,Yes
C0803,CHN803,No
C0804,CHN804,No
C0805,CHN805,Yes
C0806,CHN806,No
C0807,CHN807,No
C0808,CHN808,No
C0809,CHN809,Yes
C0810,CHN810,Yes
C0811,CHN811,Yes
C0812,CHN812,Yes
C0813,CHN813,No
C0814,CHN814,No
C0815,CHN815,No
C0816,CHN816,No
C0817,CHN817,Yes
C0818,CHN818,No
C0819,CHN819,Yes
C0820,CHN820,No
C0821,CHN821,No
C0822,CHN822,No
C0823,CHN823,No
C0824,CHN824,No
C0825,CHN825,No
C0826,CHN826,Yes
C0827,CHN827,Yes
C0828,CHN828,No
C0829,CHN829,Yes
C0830,CHN830,No
C0831,CHN831,Yes
C0832,CHN832,No
C0833,CHN833,No
C0834,CHN834,No
C0835,CHN835,Yes
C0836,CHN836,No
C0837,CHN837,No
C0838,CHN838,Yes
C0839,CHN839,No
C0840,CHN840,No
C0841,CHN841,Yes
C0842,CHN842,No
C0843,CHN843,Yes
C0844,CHN844,No
C0845,CHN845,Yes
C0846,CHN846,No
C0847,CHN847,No
C0848,CHN848,No
C0849,CHN849,No
C0850,CHN850,No
C0851,CHN851,No
C0852,CHN852,No
C0853,CHN853,No
C0854,CHN854,No
C0855,CHN855,No
C0856,CHN856,Yes
C0857,CHN857,No
C0858,CHN858,Yes
C0859,CHN859,No
C0860,CHN860,No
C0861,CHN861,No
C0862,CHN862,No
C0863,CHN863,Yes
C0864,CHN864,Yes
C0865,CHN865,Yes
C0866,CHN866,Yes
C0867,CHN867,No
C0868,CHN868,No
C0869,CHN869,Yes
C0870,CHN870,No
C0871,CHN871,No
C0872,CHN872,No
C0873,CHN873,No
C0874,CHN874,Yes
C0875,CHN875,No
C0876,CHN876,No
C0877,CHN877,Yes
C0878,CHN878,No
C0879,CHN879,No
C0880,CHN880,No
C0881,CHN881,Yes
C0882,CHN882,No
C0883,CHN883,Yes
C0884,CHN884,No
C0885,CHN885,No
C0886,CHN886,No
C0887,CHN887,No
C0888,CHN888,No
C0889,CHN889,No
C0890,CHN890,Yes
C0891,CHN891,No
C0892,CHN892,Yes
C0893,CHN893,No
C0894,CHN894,Yes
C0895,CHN895,No
C0896,CHN896,No
C0897,CHN897,No
C0898,CHN898,No
C0899,CHN899,Yes
C0900,CHN900,No
C0901,CHN901,No
C0902,CHN902,Yes
C0903,CHN903,Yes
C0904,CHN904,No
C0905,CHN905,No
C0906,CHN906,Yes
C0907,CHN907,No
C0908,CHN908,No
C0909,CHN909,No
C0910,CHN910,No
C0911,CHN911,Yes
C0912,CHN912,No
C0913,CHN913,No
C0914,CHN914,No
C0915,CHN915,No
C0916,CHN916,Yes
C0917,CHN917,No
C0918,CHN918,No
C0919,CHN919,No
C0920,CHN920,No
C0921,CHN921,No
C0922,CHN922,No
C0923,CHN923,No
C0924,CHN924,No
C0925,CHN925,No
C0926,CHN926,No
C0927,CHN927,Yes
C0928,CHN928,Yes
C0929,CHN929,No
C0930,CHN930,No
C0931,CHN931,No
C0932,CHN932,No
C0933,CHN933,No
C0934,CHN934,Yes
C0935,CHN935,No
C0936,CHN936,No
C0937,CHN937,No
C0938,CHN938,Yes
C0939,CHN939,No
C0940,CHN940,No
C0941,CHN941,No
C0942,CHN942,No
C0943,CHN943,No
C0944,CHN944,No
C0945,CHN945,No
C0946,CHN946,Yes
C0947,CHN947,No
C0948,CHN948,No
C0949,CHN949,Yes
C0950,CHN950,No
C0951,CHN951,Yes
C0952,CHN952,No
C0953,CHN953,No
C0954,CHN954,No
C0955,CHN955,No
C0956,CHN956,Yes
C0957,CHN957,No
C0958,CHN958,No
C0959,CHN959,No
C0960,CHN960,No
C0961,CHN961,No
C0962,CHN962,No
C0963,CHN963,No
C0964,CHN964,No
C0965,CHN965,Yes
C0966,CHN966,Yes
C0967,CHN967,Yes
C0968,CHN968,No
C0969,CHN969,No
C0970,CHN970,Yes
C0971,CHN971,Yes
C0972,CHN972,No
C0973,CHN973,No
C0974,CHN974,Yes
C0975,CHN975,No
C0976,CHN976,Yes
C0977,CHN977,Yes
C0978,CHN978,No
C0979,CHN979,Yes
C0980,CHN980,No
C0981,CHN981,No
C0982,CHN982,No
C0983,CHN983,No
C0984,CHN984,Yes
C0985,CHN985,No
C0986,CHN986,Yes
C0987,CHN987,No
C0988,CHN988,No
C0989,CHN989,No
C0990,CHN990,No
C0991,CHN991,No
C0992,CHN992,No
C0993,CHN993,No
C0994,CHN994,No
C0995,CHN995,No
C0996,CHN996,Yes
C0997,CHN997,Yes
C0998,CHN998,Yes
C0999,CHN999,No
C1000,CHN1000,No
C1001,CHN1001,Yes
C1002,CHN1002,Yes
C1003,CHN1003,No
C1004,CHN1004,No
C1005,CHN1005,No
C1006,CHN1006,No
C1007,CHN1007,Yes
C1008,CHN1008,Yes
C1009,CHN1009,Yes
C1010,CHN1010,No
C1011,CHN1011,No
C1012,CHN1012,No
C1013,CHN1013,No
C1014,CHN1014,No
C1015,CHN1015,Yes
C1016,CHN1016,Yes
C1017,CHN1017,No
C1018,CHN1018,No
C1019,CHN1019,No
C1020,CHN1020,No
C1021,CHN1021,No
C1022,CHN1022,No
C1023,CHN1023,No
C1024,CHN1024,No
C1025,CHN1025,No
C1026,CHN1026,No
C1027,CHN1027,Yes
C1028,CHN1028,No
C1029,CHN1029,Yes
C1030,CHN1030,Yes
C1031,CHN1031,No
C1032,CHN1032,No
C1033,CHN1033,Yes
C1034,CHN1034,No
C1035,CHN1035,No
C1036,CHN1036,No
C1037,CHN1037,No
C1038,CHN1038,No
C1039,CHN1039,No
C1040,CHN1040,Yes
C1041,CHN1041,Yes
C1042,CHN1042,No
C1043,CHN1043,No
C1044,CHN1044,Yes
C1045,CHN1045,No
C1046,CHN1046,No
C1047,CHN1047,No
C1048,CHN1048,No
C1049,CHN1049,No
C1050,CHN1050,Yes
C1051,CHN1051,Yes
C1052,CHN1052,No
C1053,CHN1053,No
C1054,CHN1054,Yes
C1055,CHN1055,Yes
C1056,CHN1056,No
C1057,CHN1057,Yes
C1058,CHN1058,Yes
C1059,CHN1059,Yes
C1060,CHN1060,Yes
C1061,CHN1061,No
C1062,CHN1062,No
C1063,CHN1063,No
C1064,CHN1064,No
C1065,CHN1065,No
C1066,CHN1066,Yes
C1067,CHN1067,No
C1068,CHN1068,No
C1069,CHN1069,Yes
C1070,CHN1070,No
C1071,CHN1071,Yes
C1072,CHN1072,Yes
C1073,CHN1073,No
C1074,CHN1074,Yes
C1075,CHN1075,No
C1076,CHN1076,No
C1077,CHN1077,No
C1078,CHN1078,Yes
C1079,CHN1079,No
C1080,CHN1080,No
C1081,CHN1081,No
C1082,CHN1082,No
C1083,CHN1083,No
C1084,CHN1084,Yes
C1085,CHN1085,No
C1086,CHN1086,Yes
C1087,CHN1087,Yes
C1088,CHN1088,No
C1089,CHN1089,Yes
C1090,CHN1090,No
C1091,CHN1091,No
C1092,CHN1092,No
C1093,CHN1093,No
C1094,CHN1094,No
C1095,CHN1095,No
C1096,CHN1096,No
C1097,CHN1097,No
C1098,CHN1098,Yes
C1099,CHN1099,No
C1100,CHN1100,No
C1101,CHN1101,No
C1102,CHN1102,No
C1103,CHN1103,Yes
C1104,CHN1104,No
C1105,CHN1105,No
C1106,CHN1106,No
C1107,CHN1107,No
C1108,CHN1108,No
C1109,CHN1109,No
C1110,CHN1110,No
C1111,CHN1111,No
C1112,CHN1112,Yes
C1113,CHN1113,No
C1114,CHN1114,Yes
C1115,CHN1115,No
C1116,CHN1116,No
C1117,CHN1117,No
C1118,CHN1118,No
C1119,CHN1119,No
C1120,CHN1120,No
C1121,CHN1121,No
C1122,CHN1122,No
C1123,CHN1123,Yes
C1124,CHN1124,No
C1125,CHN1125,No
C1126,CHN1126,Yes
C1127,CHN1127,Yes
C1128,CHN1128,No
C1129,CHN1129,No
C1130,CHN1130,No
C1131,CHN1131,No
C1132,CHN1132,Yes
C1133,CHN1133,Yes
C1134,CHN1134,No
C1135,CHN1135,No
C1136,CHN1136,No
C1137,CHN1137,No
C1138,CHN1138,No
C1139,CHN1139,No
C1140,CHN1140,No
C1141,CHN1141,No
C1142,CHN1142,No
C1143,CHN1143,No
C1144,CHN1144,No
C1145,CHN1145,Yes
C1146,CHN1146,No
C1147,CHN1147,No
C1148,CHN1148,No
C1149,CHN1149,Yes
C1150,CHN1150,Yes
C1151,CHN1151,No
C1152,CHN1152,No
C1153,CHN1153,No
C1154,CHN1154,No
C1155,CHN1155,No
C1156,CHN1156,No
C1157,CHN1157,No
C1158,CHN1158,No
C1159,CHN1159,No
C1160,CHN1160,Yes
C1161,CHN1161,No
C1162,CHN1162,Yes
C1163,CHN1163,No
C1164,CHN1164,Yes
C1165,CHN1165,No
C1166,CHN1166,No
C1167,CHN1167,No
C1168,CHN1168,No
C1169,CHN1169,No
C1170,CHN1170,No
C1171,CHN1171,No
C1172,CHN1172,Yes
C1173,CHN1173,No
C1174,CHN1174,Yes
C1175,CHN1175,No
C1176,CHN1176,No
C1177,CHN1177,Yes
C1178,CHN1178,No
C1179,CHN1179,Yes
C1180,CHN1180,No
C1181,CHN1181,No
C1182,CHN1182,Yes
C1183,CHN1183,No
C1184,CHN1184,No
C1185,CHN1185,No
C1186,CHN1186,Yes
C1187,CHN1187,No
C1188,CHN1188,No
C1189,CHN1189,No
C1190,CHN1190,No
C1191,CHN1191,No
C1192,CHN1192,No
C1193,CHN1193,Yes
C1194,CHN1194,No
C1195,CHN1195,No
