CustomerID,Contract_ID,Billing_ID,Subscription_ID,Churn_ID,MonthlyCharges,TotalCharges,Churn
C0030,CONT030,BILL030,SUB030,CHN030,64.7,1093.1,Yes
C0031,CONT031,BILL031,SUB031,CHN031,96.35,6766.95,No
C0032,CONT032,BILL032,SUB032,CHN032,95.5,181.65,No
C0033,CONT033,BILL033,SUB033,CHN033,66.15,1874.45,No
C0034,CONT034,BILL034,SUB034,CHN034,20.2,20.2,No
C0035,CONT035,BILL035,SUB035,CHN035,45.25,45.25,No
C0036,CONT036,BILL036,SUB036,CHN036,99.9,7251.7,No
C0037,CONT037,BILL037,SUB037,CHN037,69.7,316.9,Yes
C0038,CONT038,BILL038,SUB038,CHN038,74.8,3548.3,No
C0039,CONT039,BILL039,SUB039,CHN039,106.35,3549.25,Yes
C0040,CONT040,BILL040,SUB040,CHN040,97.85,1105.4,Yes
C0041,CONT041,BILL041,SUB041,CHN041,49.55,475.7,No
C0042,CONT042,BILL042,SUB042,CHN042,69.2,4872.35,No
C0043,CONT043,BILL043,SUB043,CHN043,20.75,418.25,No
C0044,CONT044,BILL044,SUB044,CHN044,79.85,4861.45,No
C0045,CONT045,BILL045,SUB045,CHN045,76.2,981.45,No
C0046,CONT046,BILL046,SUB046,CHN046,84.5,3906.7,No
C0047,CONT047,BILL047,SUB047,CHN047,49.25,97,No
C0048,CONT048,BILL048,SUB048,CHN048,80.65,144.15,Yes
C0049,CONT049,BILL049,SUB049,CHN049,79.75,4217.8,No
C0050,CONT050,BILL050,SUB050,CHN050,64.15,4254.1,No
C0051,CONT051,BILL051,SUB051,CHN051,90.25,3838.75,No
C0052,CONT052,BILL052,SUB052,CHN052,99.1,1426.4,Yes
C0053,CONT053,BILL053,SUB053,CHN053,69.5,1752.65,No
C0054,CONT054,BILL054,SUB054,CHN054,80.65,633.3,Yes
C0055,CONT055,BILL055,SUB055,CHN055,74.85,4456.35,No
C0056,CONT056,BILL056,SUB056,CHN056,95.45,1752.55,Yes
C0057,CONT057,BILL057,SUB057,CHN057,99.65,6311.2,No
C0058,CONT058,BILL058,SUB058,CHN058,108.45,7076.35,No
C0059,CONT059,BILL059,SUB059,CHN059,24.95,894.3,No
C0060,CONT060,BILL060,SUB060,CHN060,107.5,7853.7,No
C0061,CONT061,BILL061,SUB061,CHN061,100.5,4707.1,No
C0062,CONT062,BILL062,SUB062,CHN062,89.9,5450.7,No
C0063,CONT063,BILL063,SUB063,CHN063,42.1,2962,No
C0064,CONT064,BILL064,SUB064,CHN064,54.4,957.1,No
C0065,CONT065,BILL065,SUB065,CHN065,94.4,857.25,Yes
C0066,CONT066,BILL066,SUB066,CHN066,75.3,244.1,No
C0067,CONT067,BILL067,SUB067,CHN067,78.9,3650.35,No
C0068,CONT068,BILL068,SUB068,CHN068,79.2,2497.2,No
C0069,CONT069,BILL069,SUB069,CHN069,20.15,930.9,No
C0070,CONT070,BILL070,SUB070,CHN070,79.85,887.35,No
C0071,CONT071,BILL071,SUB071,CHN071,49.05,49.05,No
C0072,CONT072,BILL072,SUB072,CHN072,20.4,1090.65,No
C0073,CONT073,BILL073,SUB073,CHN073,111.6,7099,No
C0074,CONT074,BILL074,SUB074,CHN074,24.25,1424.6,No
C0075,CONT075,BILL075,SUB075,CHN075,64.5,177.4,No
C0076,CONT076,BILL076,SUB076,CHN076,110.5,6139.5,No
C0077,CONT077,BILL077,SUB077,CHN077,55.65,2688.85,No
C0078,CONT078,BILL078,SUB078,CHN078,54.65,482.25,No
C0079,CONT079,BILL079,SUB079,CHN079,74.75,2111.3,No
C0080,CONT080,BILL080,SUB080,CHN080,25.9,1216.6,No
C0081,CONT081,BILL081,SUB081,CHN081,79.35,79.35,Yes
C0082,CONT082,BILL082,SUB082,CHN082,50.55,565.35,No
C0083,CONT083,BILL083,SUB083,CHN083,75.15,496.9,Yes
C0084,CONT084,BILL084,SUB084,CHN084,103.8,4327.5,No
C0085,CONT085,BILL085,SUB085,CHN085,20.15,973.35,No
C0086,CONT086,BILL086,SUB086,CHN086,99.3,918.75,No
C0087,CONT087,BILL087,SUB087,CHN087,62.15,2215.45,No
C0088,CONT088,BILL088,SUB088,CHN088,20.65,1057,No
C0089,CONT089,BILL089,SUB089,CHN089,19.95,927.1,No
C0090,CONT090,BILL090,SUB090,CHN090,33.75,1009.25,No
C0091,CONT091,BILL091,SUB091,CHN091,82.05,2570.2,No
C0092,CONT092,BILL092,SUB092,CHN092,74.7,74.7,No
C0093,CONT093,BILL093,SUB093,CHN093,84,5714.25,No
C0094,CONT094,BILL094,SUB094,CHN094,111.05,7107,No
C0095,CONT095,BILL095,SUB095,CHN095,100.9,7459.05,No
C0096,CONT096,BILL096,SUB096,CHN096,78.95,927.35,Yes
C0097,CONT097,BILL097,SUB097,CHN097,66.85,4748.7,No
C0098,CONT098,BILL098,SUB098,CHN098,21.05,113.85,Yes
C0099,CONT099,BILL099,SUB099,CHN099,21,1107.2,No
C0100,CONT100,BILL100,SUB100,CHN100,98.5,2514.5,Yes
C0101,CONT101,BILL101,SUB101,CHN101,20.2,20.2,No
C0102,CONT102,BILL102,SUB102,CHN102,19.45,19.45,No
C0103,CONT103,BILL103,SUB103,CHN103,95,3605.6,No
C0104,CONT104,BILL104,SUB104,CHN104,45.55,3027.25,No
C0105,CONT105,BILL105,SUB105,CHN105,110,7611.85,Yes
C0106,CONT106,BILL106,SUB106,CHN106,24.3,100.2,No
C0107,CONT107,BILL107,SUB107,CHN107,104.15,7303.05,No
C0108,CONT108,BILL108,SUB108,CHN108,30.15,927.65,No
C0109,CONT109,BILL109,SUB109,CHN109,94.35,3921.3,No
C0110,CONT110,BILL110,SUB110,CHN110,19.4,1363.25,No
C0111,CONT111,BILL111,SUB111,CHN111,96.75,5238.9,Yes
C0112,CONT112,BILL112,SUB112,CHN112,57.95,3042.25,No
C0113,CONT113,BILL113,SUB113,CHN113,91.65,3954.1,No
C0114,CONT114,BILL114,SUB114,CHN114,76.5,2868.15,Yes
C0115,CONT115,BILL115,SUB115,CHN115,54.6,3423.5,No
C0116,CONT116,BILL116,SUB116,CHN116,89.85,248.4,No
C0117,CONT117,BILL117,SUB117,CHN117,31.05,1126.35,No
C0118,CONT118,BILL118,SUB118,CHN118,100.25,1064.65,Yes
C0119,CONT119,BILL119,SUB119,CHN119,20.65,835.15,No
C0120,CONT120,BILL120,SUB120,CHN120,85.2,2151.6,No
C0121,CONT121,BILL121,SUB121,CHN121,99.8,5515.45,No
C0122,CONT122,BILL122,SUB122,CHN122,20.7,112.75,No
C0123,CONT123,BILL123,SUB123,CHN123,74.4,229.55,Yes
C0124,CONT124,BILL124,SUB124,CHN124,50.7,350.35,No
C0125,CONT125,BILL125,SUB125,CHN125,20.85,62.9,No
C0126,CONT126,BILL126,SUB126,CHN126,88.95,3027.65,No
C0127,CONT127,BILL127,SUB127,CHN127,78.05,2135.5,Yes
C0128,CONT128,BILL128,SUB128,CHN128,23.55,1723.95,No
C0129,CONT129,BILL129,SUB129,CHN129,19.75,19.75,No
C0130,CONT130,BILL130,SUB130,CHN130,56.45,3985.35,No
C0131,CONT131,BILL131,SUB131,CHN131,85.95,1215.65,No
C0132,CONT132,BILL132,SUB132,CHN132,58.6,1502.65,Yes
C0133,CONT133,BILL133,SUB133,CHN133,50.55,3260.1,No
C0134,CONT134,BILL134,SUB134,CHN134,35.45,35.45,Yes
C0135,CONT135,BILL135,SUB135,CHN135,44.35,81.25,Yes
C0136,CONT136,BILL136,SUB136,CHN136,25.7,1188.2,No
C0137,CONT137,BILL137,SUB137,CHN137,75,1778.5,No
C0138,CONT138,BILL138,SUB138,CHN138,20.2,1277.75,No
C0139,CONT139,BILL139,SUB139,CHN139,19.6,1170.55,No
C0140,CONT140,BILL140,SUB140,CHN140,70.45,70.45,Yes
C0141,CONT141,BILL141,SUB141,CHN141,88.05,6425.65,No
C0142,CONT142,BILL142,SUB142,CHN142,71.15,563.65,Yes
C0143,CONT143,BILL143,SUB143,CHN143,101.05,5971.25,No
C0144,CONT144,BILL144,SUB144,CHN144,84.3,5289.05,No
C0145,CONT145,BILL145,SUB145,CHN145,23.95,1756.2,No
C0146,CONT146,BILL146,SUB146,CHN146,99.05,6416.7,No
C0147,CONT147,BILL147,SUB147,CHN147,19.6,61.35,No
C0148,CONT148,BILL148,SUB148,CHN148,45.65,45.65,Yes
C0149,CONT149,BILL149,SUB149,CHN149,64.5,1929.95,No
C0150,CONT150,BILL150,SUB150,CHN150,69.5,1071.4,No
C0151,CONT151,BILL151,SUB151,CHN151,68.55,564.35,No
C0152,CONT152,BILL152,SUB152,CHN152,95,655.5,Yes
C0153,CONT153,BILL153,SUB153,CHN153,108.15,7930.55,No
C0154,CONT154,BILL154,SUB154,CHN154,86.1,5215.25,No
C0155,CONT155,BILL155,SUB155,CHN155,19.7,113.5,No
C0156,CONT156,BILL156,SUB156,CHN156,80.9,1152.8,No
C0157,CONT157,BILL157,SUB157,CHN157,84.15,1821.95,No
C0158,CONT158,BILL158,SUB158,CHN158,20.15,419.9,No
C0159,CONT159,BILL159,SUB159,CHN159,64.25,1024,No
C0160,CONT160,BILL160,SUB160,CHN160,25.7,251.6,No
C0161,CONT161,BILL161,SUB161,CHN161,56,764.55,No
C0162,CONT162,BILL162,SUB162,CHN162,82.4,1592.35,Yes
C0163,CONT163,BILL163,SUB163,CHN163,69.7,135.2,No
C0164,CONT164,BILL164,SUB164,CHN164,73.9,3958.25,No
C0165,CONT165,BILL165,SUB165,CHN165,20.6,233.9,No
C0166,CONT166,BILL166,SUB166,CHN166,19.9,1363.45,No
C0167,CONT167,BILL167,SUB167,CHN167,70.9,273,Yes
C0168,CONT168,BILL168,SUB168,CHN168,89.05,6254.45,No
C0169,CONT169,BILL169,SUB169,CHN169,45.3,2651.2,Yes
C0170,CONT170,BILL170,SUB170,CHN170,20.4,321.4,No
C0171,CONT171,BILL171,SUB171,CHN171,84.25,3539.25,No
C0172,CONT172,BILL172,SUB172,CHN172,104.4,242.8,Yes
C0173,CONT173,BILL173,SUB173,CHN173,81.95,1181.75,No
C0174,CONT174,BILL174,SUB174,CHN174,94.85,5000.2,Yes
C0175,CONT175,BILL175,SUB175,CHN175,20.55,654.55,No
C0176,CONT176,BILL176,SUB176,CHN176,24.7,780.2,No
C0177,CONT177,BILL177,SUB177,CHN177,74.45,1145.7,Yes
C0178,CONT178,BILL178,SUB178,CHN178,76.45,503.6,Yes
C0179,CONT179,BILL179,SUB179,CHN179,105.35,1559.25,No
C0180,CONT180,BILL180,SUB180,CHN180,20.55,1252,No
C0181,CONT181,BILL181,SUB181,CHN181,29.95,29.95,Yes
C0182,CONT182,BILL182,SUB182,CHN182,45.3,45.3,No
C0183,CONT183,BILL183,SUB183,CHN183,84.5,662.65,Yes
C0184,CONT184,BILL184,SUB184,CHN184,74.75,2453.3,No
C0185,CONT185,BILL185,SUB185,CHN185,79.25,1111.65,Yes
C0186,CONT186,BILL186,SUB186,CHN186,24.8,24.8,Yes
C0187,CONT187,BILL187,SUB187,CHN187,51.8,1023.85,No
C0188,CONT188,BILL188,SUB188,CHN188,30.4,82.15,No
C0189,CONT189,BILL189,SUB189,CHN189,19.65,244.8,No
C0190,CONT190,BILL190,SUB190,CHN190,56.6,2379.1,No
C0191,CONT191,BILL191,SUB191,CHN191,71.9,3173.35,No
C0192,CONT192,BILL192,SUB192,CHN192,91,531,Yes
C0193,CONT193,BILL193,SUB193,CHN193,19.75,1375.4,No
C0194,CONT194,BILL194,SUB194,CHN194,109.7,8129.3,No
C0195,CONT195,BILL195,SUB195,CHN195,19.3,1192.7,No
C0196,CONT196,BILL196,SUB196,CHN196,96.55,1901.65,No
C0197,CONT197,BILL197,SUB197,CHN197,24.1,587.4,No
C0198,CONT198,BILL198,SUB198,CHN198,111.35,6519.75,No
C0199,CONT199,BILL199,SUB199,CHN199,112.25,8041.65,No
C0200,CONT200,BILL200,SUB200,CHN200,20.75,20.75,No
C0201,CONT201,BILL201,SUB201,CHN201,101.9,2681.15,No
C0202,CONT202,BILL202,SUB202,CHN202,80.05,1112.3,No
C0203,CONT203,BILL203,SUB203,CHN203,105.55,7405.5,No
C0204,CONT204,BILL204,SUB204,CHN204,78.3,1033.95,No
C0205,CONT205,BILL205,SUB205,CHN205,68.85,2958.95,No
C0206,CONT206,BILL206,SUB206,CHN206,79.95,2684.85,No
C0207,CONT207,BILL207,SUB207,CHN207,55.45,4179.2,No
C0208,CONT208,BILL208,SUB208,CHN208,79.9,79.9,Yes
C0209,CONT209,BILL209,SUB209,CHN209,106.6,1934.45,Yes
C0210,CONT210,BILL210,SUB210,CHN210,102.45,6654.1,No
C0211,CONT211,BILL211,SUB211,CHN211,46,84.5,Yes
C0212,CONT212,BILL212,SUB212,CHN212,25.25,25.25,No
C0213,CONT213,BILL213,SUB213,CHN213,19.75,1124.2,No
C0214,CONT214,BILL214,SUB214,CHN214,20,540.05,No
C0215,CONT215,BILL215,SUB215,CHN215,86.8,1975.85,No
C0216,CONT216,BILL216,SUB216,CHN216,58.75,3437.45,No
C0217,CONT217,BILL217,SUB217,CHN217,45.25,3139.8,No
C0218,CONT218,BILL218,SUB218,CHN218,56.6,3789.2,No
C0219,CONT219,BILL219,SUB219,CHN219,84.2,5324.5,No
C0220,CONT220,BILL220,SUB220,CHN220,80,624.6,No
C0221,CONT221,BILL221,SUB221,CHN221,70.15,268.35,Yes
C0222,CONT222,BILL222,SUB222,CHN222,24.75,1836.9,No
C0223,CONT223,BILL223,SUB223,CHN223,20.2,20.2,No
C0224,CONT224,BILL224,SUB224,CHN224,50.05,179.35,Yes
C0225,CONT225,BILL225,SUB225,CHN225,19.35,219.35,No
C0226,CONT226,BILL226,SUB226,CHN226,50.6,1288.75,No
C0227,CONT227,BILL227,SUB227,CHN227,81.15,2545.75,No
C0228,CONT228,BILL228,SUB228,CHN228,55.2,55.2,Yes
C0229,CONT229,BILL229,SUB229,CHN229,89.9,2723.15,No
C0230,CONT230,BILL230,SUB230,CHN230,85.3,4107.25,No
C0231,CONT231,BILL231,SUB231,CHN231,108,5760.65,No
C0232,CONT232,BILL232,SUB232,CHN232,93.5,4747.5,No
C0233,CONT233,BILL233,SUB233,CHN233,84.6,84.6,Yes
C0234,CONT234,BILL234,SUB234,CHN234,20.25,1566.9,No
C0235,CONT235,BILL235,SUB235,CHN235,25.15,702,No
C0236,CONT236,BILL236,SUB236,CHN236,54.4,114.1,Yes
C0237,CONT237,BILL237,SUB237,CHN237,29.6,299.05,No
C0238,CONT238,BILL238,SUB238,CHN238,73.15,1305.95,No
C0239,CONT239,BILL239,SUB239,CHN239,95,1120.3,Yes
C0240,CONT240,BILL240,SUB240,CHN240,19.75,284.35,No
C0241,CONT241,BILL241,SUB241,CHN241,86.6,6350.5,No
C0242,CONT242,BILL242,SUB242,CHN242,109.2,7878.3,No
C0243,CONT243,BILL243,SUB243,CHN243,74.7,3187.65,No
C0244,CONT244,BILL244,SUB244,CHN244,94.4,6126.15,No
C0245,CONT245,BILL245,SUB245,CHN245,54.8,731.3,No
C0246,CONT246,BILL246,SUB246,CHN246,75.35,273.4,No
C0247,CONT247,BILL247,SUB247,CHN247,65,2531.8,No
C0248,CONT248,BILL248,SUB248,CHN248,74.4,1074.3,Yes
C0249,CONT249,BILL249,SUB249,CHN249,48.55,48.55,Yes
C0250,CONT250,BILL250,SUB250,CHN250,99,4298.45,No
C0251,CONT251,BILL251,SUB251,CHN251,93.5,4619.55,No
C0252,CONT252,BILL252,SUB252,CHN252,70.4,147.15,Yes
C0253,CONT253,BILL253,SUB253,CHN253,40.2,40.2,Yes
C0254,CONT254,BILL254,SUB254,CHN254,83.7,2633.3,No
C0255,CONT255,BILL255,SUB255,CHN255,19.85,193.05,No
C0256,CONT256,BILL256,SUB256,CHN256,59.55,4103.9,No
C0257,CONT257,BILL257,SUB257,CHN257,115.1,7008.15,No
C0258,CONT258,BILL258,SUB258,CHN258,114.35,5791.1,No
C0259,CONT259,BILL259,SUB259,CHN259,44.6,80.55,Yes
C0260,CONT260,BILL260,SUB260,CHN260,45,1228.65,No
C0261,CONT261,BILL261,SUB261,CHN261,41.15,132.2,Yes
C0262,CONT262,BILL262,SUB262,CHN262,106.9,1364.3,Yes
C0263,CONT263,BILL263,SUB263,CHN263,89.85,4925.35,No
C0264,CONT264,BILL264,SUB264,CHN264,49.85,1520.1,No
C0265,CONT265,BILL265,SUB265,CHN265,113.3,5032.25,No
C0266,CONT266,BILL266,SUB266,CHN266,88.1,5526.75,No
C0267,CONT267,BILL267,SUB267,CHN267,24.9,1195.25,No
C0268,CONT268,BILL268,SUB268,CHN268,105,2007.25,No
C0269,CONT269,BILL269,SUB269,CHN269,19.35,1099.6,Yes
C0270,CONT270,BILL270,SUB270,CHN270,24.25,1732.95,No
C0271,CONT271,BILL271,SUB271,CHN271,94.45,1511.2,Yes
C0272,CONT272,BILL272,SUB272,CHN272,59.75,3450.15,No
C0273,CONT273,BILL273,SUB273,CHN273,24.8,24.8,Yes
C0274,CONT274,BILL274,SUB274,CHN274,107.05,2172.05,No
C0275,CONT275,BILL275,SUB275,CHN275,70.6,70.6,Yes
C0276,CONT276,BILL276,SUB276,CHN276,85.4,401.1,Yes
C0277,CONT277,BILL277,SUB277,CHN277,105.05,5624.85,Yes
C0278,CONT278,BILL278,SUB278,CHN278,64.95,1339.8,No
C0279,CONT279,BILL279,SUB279,CHN279,55,771.95,No
C0280,CONT280,BILL280,SUB280,CHN280,50.55,244.75,No
C0281,CONT281,BILL281,SUB281,CHN281,55.15,322.9,No
C0282,CONT282,BILL282,SUB282,CHN282,51.2,498.25,No
C0283,CONT283,BILL283,SUB283,CHN283,25.4,25.4,No
C0284,CONT284,BILL284,SUB284,CHN284,54.45,3687.75,No
C0285,CONT285,BILL285,SUB285,CHN285,95.15,1779.95,Yes
C0286,CONT286,BILL286,SUB286,CHN286,76,1783.6,No
C0287,CONT287,BILL287,SUB287,CHN287,44.35,927.15,No
C0288,CONT288,BILL288,SUB288,CHN288,70,70,Yes
C0289,CONT289,BILL289,SUB289,CHN289,74.5,606.55,Yes
C0290,CONT290,BILL290,SUB290,CHN290,44.85,435.4,Yes
C0291,CONT291,BILL291,SUB291,CHN291,76.1,1712.7,Yes
C0292,CONT292,BILL292,SUB292,CHN292,61.2,2021.2,No
C0293,CONT293,BILL293,SUB293,CHN293,86.8,1940.8,No
C0294,CONT294,BILL294,SUB294,CHN294,89.35,567.8,No
C0295,CONT295,BILL295,SUB295,CHN295,19.7,220.35,No
C0296,CONT296,BILL296,SUB296,CHN296,20.25,20.25,No
C0297,CONT297,BILL297,SUB297,CHN297,76.05,5436.45,No
C0298,CONT298,BILL298,SUB298,CHN298,100.8,3437.5,No
C0299,CONT299,BILL299,SUB299,CHN299,74.55,3015.75,No
C0300,CONT300,BILL300,SUB300,CHN300,73.6,73.6,Yes
C0301,CONT301,BILL301,SUB301,CHN301,64.9,1509.8,No
C0302,CONT302,BILL302,SUB302,CHN302,95.45,396.1,Yes
C0303,CONT303,BILL303,SUB303,CHN303,90.4,356.65,No
C0304,CONT304,BILL304,SUB304,CHN304,60.3,4109,No
C0305,CONT305,BILL305,SUB305,CHN305,81.85,3141.7,No
C0306,CONT306,BILL306,SUB306,CHN306,24.8,1229.1,No
C0307,CONT307,BILL307,SUB307,CHN307,74.9,2303.35,Yes
C0308,CONT308,BILL308,SUB308,CHN308,75.55,2054.4,No
C0309,CONT309,BILL309,SUB309,CHN309,101.15,3741.85,No
C0310,CONT310,BILL310,SUB310,CHN310,78.75,3682.45,No
C0311,CONT311,BILL311,SUB311,CHN311,19.25,19.25,No
C0312,CONT312,BILL312,SUB312,CHN312,89.05,1886.25,No
C0313,CONT313,BILL313,SUB313,CHN313,115.05,4895.1,No
C0314,CONT314,BILL314,SUB314,CHN314,69.35,341.6,No
C0315,CONT315,BILL315,SUB315,CHN315,80.6,415.55,Yes
C0316,CONT316,BILL316,SUB316,CHN316,110.05,5686.4,No
C0317,CONT317,BILL317,SUB317,CHN317,19.9,1355.1,No
C0318,CONT318,BILL318,SUB318,CHN318,80.3,3058.65,Yes
C0319,CONT319,BILL319,SUB319,CHN319,93.15,2231.05,Yes
C0320,CONT320,BILL320,SUB320,CHN320,91.5,3236.35,No
C0321,CONT321,BILL321,SUB321,CHN321,82.45,4350.1,Yes
C0322,CONT322,BILL322,SUB322,CHN322,60,4264,No
C0323,CONT323,BILL323,SUB323,CHN323,44.8,44.8,No
C0324,CONT324,BILL324,SUB324,CHN324,48.6,422.3,No
C0325,CONT325,BILL325,SUB325,CHN325,60.05,4176.7,No
C0326,CONT326,BILL326,SUB326,CHN326,102.7,5138.1,No
C0327,CONT327,BILL327,SUB327,CHN327,82.9,880.05,No
C0328,CONT328,BILL328,SUB328,CHN328,70.35,139.05,Yes
C0329,CONT329,BILL329,SUB329,CHN329,35.9,973.65,No
C0330,CONT330,BILL330,SUB330,CHN330,82.65,1470.05,No
C0331,CONT331,BILL331,SUB331,CHN331,19.85,739.35,No
C0332,CONT332,BILL332,SUB332,CHN332,19.2,161.95,No
C0333,CONT333,BILL333,SUB333,CHN333,94.9,4422.95,No
C0334,CONT334,BILL334,SUB334,CHN334,73.85,511.25,Yes
C0335,CONT335,BILL335,SUB335,CHN335,80.6,155.8,Yes
C0336,CONT336,BILL336,SUB336,CHN336,75.8,5293.95,Yes
C0337,CONT337,BILL337,SUB337,CHN337,104.6,4759.85,Yes
C0338,CONT338,BILL338,SUB338,CHN338,88.15,6148.45,No
C0339,CONT339,BILL339,SUB339,CHN339,94.8,3565.65,No
C0340,CONT340,BILL340,SUB340,CHN340,103.4,6603,Yes
C0341,CONT341,BILL341,SUB341,CHN341,54.65,1830.1,No
C0342,CONT342,BILL342,SUB342,CHN342,85.75,6223.8,No
C0343,CONT343,BILL343,SUB343,CHN343,67.45,4508.65,No
C0344,CONT344,BILL344,SUB344,CHN344,20.5,1328.15,No
C0345,CONT345,BILL345,SUB345,CHN345,20.25,865,No
C0346,CONT346,BILL346,SUB346,CHN346,72.1,72.1,No
C0347,CONT347,BILL347,SUB347,CHN347,90.4,168.2,Yes
C0348,CONT348,BILL348,SUB348,CHN348,19.45,1303.5,No
C0349,CONT349,BILL349,SUB349,CHN349,44.95,996.85,No
C0350,CONT350,BILL350,SUB350,CHN350,97,6430.9,No
C0351,CONT351,BILL351,SUB351,CHN351,62.8,2278.75,No
C0352,CONT352,BILL352,SUB352,CHN352,44.6,681.4,No
C0353,CONT353,BILL353,SUB353,CHN353,89.15,574.35,No
C0354,CONT354,BILL354,SUB354,CHN354,84.8,371.9,Yes
C0355,CONT355,BILL355,SUB355,CHN355,41.9,840.1,Yes
C0356,CONT356,BILL356,SUB356,CHN356,80.25,846,Yes
C0357,CONT357,BILL357,SUB357,CHN357,54.1,889,No
C0358,CONT358,BILL358,SUB358,CHN358,105.25,6823.4,No
C0359,CONT359,BILL359,SUB359,CHN359,30.75,805.1,Yes
C0360,CONT360,BILL360,SUB360,CHN360,97.1,4016.75,No
C0361,CONT361,BILL361,SUB361,CHN361,20.2,83.75,No
C0362,CONT362,BILL362,SUB362,CHN362,98.8,3959.15,No
C0363,CONT363,BILL363,SUB363,CHN363,50.3,2878.55,No
C0364,CONT364,BILL364,SUB364,CHN364,20.55,945.7,No
C0365,CONT365,BILL365,SUB365,CHN365,75.9,1373.05,No
C0366,CONT366,BILL366,SUB366,CHN366,96.5,492.55,Yes
C0367,CONT367,BILL367,SUB367,CHN367,59.95,1406,No
C0368,CONT368,BILL368,SUB368,CHN368,19.15,19.15,No
C0369,CONT369,BILL369,SUB369,CHN369,98.65,6962.85,No
C0370,CONT370,BILL370,SUB370,CHN370,112.6,8126.65,No
C0371,CONT371,BILL371,SUB371,CHN371,20.6,690.25,No
C0372,CONT372,BILL372,SUB372,CHN372,85.65,181.5,Yes
C0373,CONT373,BILL373,SUB373,CHN373,35.75,830.8,No
C0374,CONT374,BILL374,SUB374,CHN374,99.75,5608.4,No
C0375,CONT375,BILL375,SUB375,CHN375,96.1,3646.8,No
C0376,CONT376,BILL376,SUB376,CHN376,85.1,3662.25,No
C0377,CONT377,BILL377,SUB377,CHN377,25.35,25.35,No
C0378,CONT378,BILL378,SUB378,CHN378,104.95,2566.5,Yes
C0379,CONT379,BILL379,SUB379,CHN379,89.65,5308.7,No
C0380,CONT380,BILL380,SUB380,CHN380,86.75,1410.25,No
C0381,CONT381,BILL381,SUB381,CHN381,86.2,3339.05,No
C0382,CONT382,BILL382,SUB382,CHN382,50.65,50.65,Yes
C0383,CONT383,BILL383,SUB383,CHN383,64.8,4732.35,No
C0384,CONT384,BILL384,SUB384,CHN384,90.85,90.85,Yes
C0385,CONT385,BILL385,SUB385,CHN385,108.1,5067.45,No
C0386,CONT386,BILL386,SUB386,CHN386,19.95,214.75,Yes
C0387,CONT387,BILL387,SUB387,CHN387,85.45,4874.7,Yes
C0388,CONT388,BILL388,SUB388,CHN388,54.75,2348.45,No
C0389,CONT389,BILL389,SUB389,CHN389,90.4,4063,No
C0390,CONT390,BILL390,SUB390,CHN390,44,44,No
C0391,CONT391,BILL391,SUB391,CHN391,95.6,2595.25,No
C0392,CONT392,BILL392,SUB392,CHN392,84.8,2309.55,No
C0393,CONT393,BILL393,SUB393,CHN393,44.3,89.3,No
C0394,CONT394,BILL394,SUB394,CHN394,19.9,367.55,No
C0395,CONT395,BILL395,SUB395,CHN395,95.05,3944.5,No
C0396,CONT396,BILL396,SUB396,CHN396,90.05,5965.95,No
C0397,CONT397,BILL397,SUB397,CHN397,109.9,3694.7,No
C0398,CONT398,BILL398,SUB398,CHN398,73.95,2524.45,Yes
