Contract_ID,tenure,CustomerID,Contract,PaperlessBilling,PaymentMethod
CONT160,10,C0160,Two year,No,Bank transfer (automatic)
CONT161,13,C0161,Month-to-month,Yes,Electronic check
CONT162,20,C0162,Month-to-month,No,Electronic check
CONT163,2,C0163,Month-to-month,Yes,Electronic check
CONT164,53,C0164,Two year,Yes,Bank transfer (automatic)
CONT165,11,C0165,One year,No,Mailed check
CONT166,69,C0166,Two year,No,Mailed check
CONT167,4,C0167,Month-to-month,Yes,Bank transfer (automatic)
CONT168,72,C0168,Two year,Yes,Bank transfer (automatic)
CONT169,58,C0169,Month-to-month,Yes,Electronic check
CONT170,16,C0170,Month-to-month,No,Electronic check
CONT171,43,C0171,One year,Yes,Bank transfer (automatic)
CONT172,2,C0172,Month-to-month,Yes,Electronic check
CONT173,14,C0173,Two year,No,Mailed check
CONT174,53,C0174,One year,Yes,Bank transfer (automatic)
CONT175,32,C0175,One year,No,Bank transfer (automatic)
CONT176,34,C0176,Month-to-month,No,Electronic check
CONT177,15,C0177,Month-to-month,Yes,Mailed check
CONT178,7,C0178,Month-to-month,No,Bank transfer (automatic)
CONT179,15,C0179,Month-to-month,Yes,Bank transfer (automatic)
CONT180,61,C0180,One year,Yes,Credit card (automatic)
CONT181,1,C0181,Month-to-month,No,Bank transfer (automatic)
CONT182,1,C0182,Month-to-month,No,Mailed check
CONT183,8,C0183,Month-to-month,No,Bank transfer (automatic)
CONT184,33,C0184,One year,No,Credit card (automatic)
CONT185,13,C0185,Month-to-month,Yes,Electronic check
CONT186,1,C0186,Month-to-month,Yes,Electronic check
CONT187,20,C0187,Month-to-month,Yes,Mailed check
CONT188,3,C0188,Month-to-month,No,Electronic check
CONT189,13,C0189,One year,No,Electronic check
CONT190,40,C0190,Month-to-month,No,Credit card (automatic)
CONT191,43,C0191,One year,Yes,Credit card (automatic)
CONT192,6,C0192,Month-to-month,Yes,Electronic check
CONT193,69,C0193,Two year,No,Bank transfer (automatic)
CONT194,72,C0194,Two year,No,Credit card (automatic)
CONT195,59,C0195,Two year,No,Credit card (automatic)
CONT196,20,C0196,Month-to-month,Yes,Electronic check
CONT197,24,C0197,Two year,Yes,Bank transfer (automatic)
CONT198,59,C0198,Month-to-month,Yes,Electronic check
CONT199,72,C0199,Two year,Yes,Bank transfer (automatic)
CONT200,1,C0200,Month-to-month,No,Mailed check
CONT201,27,C0201,One year,Yes,Credit card (automatic)
CONT202,14,C0202,Month-to-month,Yes,Credit card (automatic)
CONT203,71,C0203,Two year,No,Electronic check
CONT204,13,C0204,Month-to-month,Yes,Credit card (automatic)
CONT205,44,C0205,Month-to-month,No,Credit card (automatic)
CONT206,33,C0206,One year,Yes,Bank transfer (automatic)
CONT207,72,C0207,Two year,Yes,Credit card (automatic)
CONT208,1,C0208,Month-to-month,No,Electronic check
CONT209,19,C0209,Month-to-month,Yes,Electronic check
CONT210,64,C0210,One year,Yes,Credit card (automatic)
CONT211,2,C0211,Month-to-month,Yes,Credit card (automatic)
CONT212,1,C0212,Month-to-month,No,Electronic check
CONT213,61,C0213,Two year,No,Mailed check
CONT214,29,C0214,One year,No,Electronic check
CONT215,23,C0215,Month-to-month,No,Electronic check
CONT216,57,C0216,Month-to-month,Yes,Bank transfer (automatic)
CONT217,72,C0217,Two year,No,Credit card (automatic)
CONT218,66,C0218,Two year,Yes,Bank transfer (automatic)
CONT219,65,C0219,Two year,Yes,Bank transfer (automatic)
CONT220,8,C0220,Month-to-month,Yes,Bank transfer (automatic)
CONT221,4,C0221,Month-to-month,Yes,Electronic check
CONT222,71,C0222,Two year,No,Bank transfer (automatic)
CONT223,1,C0223,One year,Yes,Electronic check
CONT224,4,C0224,Month-to-month,No,Mailed check
CONT225,12,C0225,One year,Yes,Bank transfer (automatic)
CONT226,24,C0226,One year,Yes,Mailed check
CONT227,31,C0227,One year,Yes,Mailed check
CONT228,1,C0228,Month-to-month,No,Mailed check
CONT229,30,C0229,Month-to-month,Yes,Credit card (automatic)
CONT230,47,C0230,Two year,Yes,Credit card (automatic)
CONT231,54,C0231,Two year,Yes,Credit card (automatic)
CONT232,50,C0232,Month-to-month,Yes,Credit card (automatic)
CONT233,1,C0233,Month-to-month,Yes,Mailed check
CONT234,72,C0234,Two year,No,Credit card (automatic)
CONT235,29,C0235,Month-to-month,No,Electronic check
CONT236,2,C0236,Month-to-month,Yes,Mailed check
CONT237,10,C0237,Two year,Yes,Mailed check
CONT238,18,C0238,Month-to-month,Yes,Electronic check
CONT239,11,C0239,Month-to-month,Yes,Electronic check
CONT240,16,C0240,Two year,No,Mailed check
CONT241,72,C0241,Two year,No,Bank transfer (automatic)
CONT242,72,C0242,Two year,No,Bank transfer (automatic)
CONT243,41,C0243,One year,Yes,Credit card (automatic)
CONT244,65,C0244,Month-to-month,No,Electronic check
CONT245,13,C0245,Month-to-month,Yes,Electronic check
CONT246,4,C0246,Month-to-month,No,Electronic check
CONT247,41,C0247,One year,No,Mailed check
CONT248,15,C0248,Month-to-month,Yes,Electronic check
CONT249,1,C0249,Month-to-month,Yes,Mailed check
CONT250,42,C0250,One year,Yes,Electronic check
CONT251,51,C0251,One year,Yes,Electronic check
CONT252,2,C0252,Month-to-month,No,Electronic check
CONT253,1,C0253,Month-to-month,No,Electronic check
CONT254,32,C0254,One year,No,Credit card (automatic)
CONT255,10,C0255,Month-to-month,Yes,Mailed check
CONT256,67,C0256,Two year,Yes,Electronic check
CONT257,61,C0257,Two year,No,Credit card (automatic)
CONT258,50,C0258,One year,No,Credit card (automatic)
CONT259,2,C0259,Month-to-month,Yes,Credit card (automatic)
CONT260,29,C0260,Month-to-month,Yes,Electronic check
CONT261,3,C0261,Month-to-month,Yes,Electronic check
CONT262,13,C0262,Month-to-month,Yes,Electronic check
CONT263,57,C0263,Month-to-month,Yes,Electronic check
CONT264,31,C0264,Two year,Yes,Bank transfer (automatic)
CONT265,45,C0265,One year,No,Mailed check
CONT266,61,C0266,Two year,No,Mailed check
CONT267,50,C0267,Two year,No,Bank transfer (automatic)
CONT268,19,C0268,Month-to-month,Yes,Mailed check
CONT269,59,C0269,Two year,No,Mailed check
CONT270,71,C0270,Two year,Yes,Credit card (automatic)
CONT271,16,C0271,Month-to-month,Yes,Electronic check
CONT272,57,C0272,Two year,Yes,Electronic check
CONT273,1,C0273,Month-to-month,No,Bank transfer (automatic)
CONT274,20,C0274,Month-to-month,No,Electronic check
CONT275,1,C0275,Month-to-month,No,Mailed check
CONT276,5,C0276,Month-to-month,Yes,Electronic check
CONT277,52,C0277,Month-to-month,Yes,Electronic check
CONT278,21,C0278,Month-to-month,Yes,Bank transfer (automatic)
CONT279,14,C0279,Month-to-month,Yes,Electronic check
CONT280,5,C0280,Month-to-month,No,Bank transfer (automatic)
CONT281,6,C0281,Month-to-month,No,Mailed check
CONT282,10,C0282,Month-to-month,No,Electronic check
CONT283,1,C0283,Month-to-month,No,Mailed check
CONT284,68,C0284,Month-to-month,No,Mailed check
CONT285,18,C0285,Month-to-month,No,Mailed check
CONT286,22,C0286,One year,Yes,Credit card (automatic)
CONT287,20,C0287,Month-to-month,Yes,Electronic check
CONT288,1,C0288,Month-to-month,No,Electronic check
CONT289,8,C0289,Month-to-month,Yes,Electronic check
CONT290,10,C0290,Month-to-month,Yes,Credit card (automatic)
CONT291,24,C0291,Month-to-month,Yes,Electronic check
CONT292,35,C0292,One year,No,Mailed check
CONT293,23,C0293,One year,No,Mailed check
CONT294,6,C0294,Month-to-month,Yes,Electronic check
CONT295,12,C0295,Month-to-month,No,Mailed check
CONT296,1,C0296,Month-to-month,No,Mailed check
CONT297,71,C0297,Two year,No,Electronic check
CONT298,35,C0298,Month-to-month,Yes,Electronic check
CONT299,40,C0299,Month-to-month,Yes,Electronic check
CONT300,1,C0300,Month-to-month,Yes,Mailed check
CONT301,23,C0301,One year,Yes,Bank transfer (automatic)
CONT302,4,C0302,Month-to-month,Yes,Electronic check
CONT303,4,C0303,Month-to-month,Yes,Electronic check
CONT304,68,C0304,Two year,No,Credit card (automatic)
CONT305,38,C0305,Month-to-month,Yes,Mailed check
CONT306,52,C0306,Two year,No,Mailed check
CONT307,32,C0307,Month-to-month,Yes,Electronic check
CONT308,29,C0308,Two year,No,Mailed check
CONT309,38,C0309,Month-to-month,No,Electronic check
CONT310,48,C0310,One year,Yes,Credit card (automatic)
CONT311,1,C0311,Month-to-month,Yes,Bank transfer (automatic)
CONT312,22,C0312,Month-to-month,Yes,Electronic check
CONT313,43,C0313,Two year,No,Credit card (automatic)
CONT314,5,C0314,Month-to-month,Yes,Electronic check
CONT315,5,C0315,Month-to-month,Yes,Electronic check
CONT316,51,C0316,One year,No,Credit card (automatic)
CONT317,71,C0317,Two year,Yes,Credit card (automatic)
CONT318,38,C0318,One year,No,Credit card (automatic)
CONT319,24,C0319,Month-to-month,Yes,Electronic check
CONT320,35,C0320,Month-to-month,Yes,Credit card (automatic)
CONT321,54,C0321,One year,No,Bank transfer (automatic)
CONT322,72,C0322,Two year,Yes,Electronic check
CONT323,1,C0323,Month-to-month,Yes,Electronic check
CONT324,9,C0324,One year,No,Mailed check
CONT325,69,C0325,Two year,Yes,Bank transfer (automatic)
CONT326,52,C0326,Month-to-month,Yes,Credit card (automatic)
CONT327,11,C0327,Month-to-month,Yes,Electronic check
CONT328,2,C0328,Month-to-month,Yes,Electronic check
CONT329,28,C0329,Month-to-month,Yes,Electronic check
CONT330,17,C0330,Month-to-month,Yes,Credit card (automatic)
CONT331,35,C0331,Two year,Yes,Mailed check
CONT332,8,C0332,One year,Yes,Mailed check
CONT333,46,C0333,One year,Yes,Credit card (automatic)
CONT334,7,C0334,Month-to-month,Yes,Electronic check
CONT335,2,C0335,Month-to-month,No,Mailed check
CONT336,68,C0336,One year,Yes,Bank transfer (automatic)
CONT337,43,C0337,Two year,Yes,Electronic check
CONT338,68,C0338,Two year,Yes,Electronic check
CONT339,36,C0339,Month-to-month,Yes,Credit card (automatic)
CONT340,63,C0340,Month-to-month,Yes,Electronic check
CONT341,32,C0341,Month-to-month,No,Bank transfer (automatic)
CONT342,71,C0342,Two year,No,Credit card (automatic)
CONT343,66,C0343,Month-to-month,Yes,Bank transfer (automatic)
CONT344,63,C0344,One year,No,Mailed check
CONT345,41,C0345,One year,Yes,Credit card (automatic)
CONT346,1,C0346,Month-to-month,Yes,Electronic check
CONT347,2,C0347,Month-to-month,Yes,Electronic check
CONT348,70,C0348,Two year,No,Bank transfer (automatic)
CONT349,23,C0349,Month-to-month,Yes,Electronic check
CONT350,64,C0350,One year,No,Bank transfer (automatic)
CONT351,37,C0351,Two year,Yes,Credit card (automatic)
CONT352,17,C0352,One year,No,Mailed check
CONT353,7,C0353,Month-to-month,Yes,Electronic check
CONT354,4,C0354,Month-to-month,Yes,Bank transfer (automatic)
CONT355,21,C0355,Month-to-month,Yes,Electronic check
CONT356,10,C0356,Month-to-month,Yes,Bank transfer (automatic)
CONT357,16,C0357,Month-to-month,Yes,Electronic check
CONT358,64,C0358,Two year,Yes,Electronic check
CONT359,27,C0359,Month-to-month,No,Credit card (automatic)
CONT360,42,C0360,One year,No,Electronic check
CONT361,5,C0361,Month-to-month,No,Mailed check
CONT362,41,C0362,Two year,Yes,Bank transfer (automatic)
CONT363,58,C0363,One year,No,Credit card (automatic)
CONT364,47,C0364,Two year,Yes,Mailed check
CONT365,18,C0365,Month-to-month,Yes,Bank transfer (automatic)
CONT366,5,C0366,Month-to-month,No,Bank transfer (automatic)
CONT367,23,C0367,Month-to-month,Yes,Bank transfer (automatic)
CONT368,1,C0368,Month-to-month,No,Mailed check
CONT369,71,C0369,One year,Yes,Credit card (automatic)
CONT370,72,C0370,Two year,Yes,Credit card (automatic)
CONT371,33,C0371,One year,No,Mailed check
CONT372,2,C0372,Month-to-month,Yes,Electronic check
CONT373,24,C0373,Two year,No,Mailed check
CONT374,56,C0374,One year,Yes,Credit card (automatic)
CONT375,37,C0375,Month-to-month,Yes,Credit card (automatic)
CONT376,43,C0376,One year,No,Credit card (automatic)
CONT377,1,C0377,Month-to-month,No,Mailed check
CONT378,25,C0378,Month-to-month,Yes,Bank transfer (automatic)
CONT379,61,C0379,Two year,No,Electronic check
CONT380,17,C0380,One year,No,Electronic check
CONT381,41,C0381,One year,Yes,Bank transfer (automatic)
CONT382,1,C0382,Month-to-month,No,Mailed check
CONT383,72,C0383,Two year,Yes,Bank transfer (automatic)
CONT384,1,C0384,Month-to-month,Yes,Credit card (automatic)
CONT385,48,C0385,Two year,Yes,Bank transfer (automatic)
CONT386,11,C0386,Month-to-month,No,Mailed check
CONT387,55,C0387,Month-to-month,Yes,Electronic check
CONT388,42,C0388,One year,Yes,Electronic check
CONT389,44,C0389,Month-to-month,Yes,Mailed check
CONT390,1,C0390,Month-to-month,No,Electronic check
CONT391,27,C0391,Month-to-month,Yes,Bank transfer (automatic)
CONT392,27,C0392,Month-to-month,Yes,Bank transfer (automatic)
CONT393,2,C0393,Month-to-month,Yes,Electronic check
CONT394,19,C0394,Month-to-month,No,Mailed check
CONT395,42,C0395,Month-to-month,Yes,Electronic check
CONT396,66,C0396,Two year,Yes,Credit card (automatic)
CONT397,33,C0397,Month-to-month,Yes,Bank transfer (automatic)
CONT398,34,C0398,Month-to-month,Yes,Credit card (automatic)
CONT399,33,C0399,Month-to-month,Yes,Electronic check
CONT400,23,C0400,One year,No,Mailed check
CONT401,32,C0401,One year,No,Bank transfer (automatic)
CONT402,11,C0402,One year,No,Credit card (automatic)
CONT403,69,C0403,Month-to-month,Yes,Credit card (automatic)
CONT404,68,C0404,One year,No,Bank transfer (automatic)
CONT405,20,C0405,Two year,Yes,Mailed check
CONT406,72,C0406,Two year,Yes,Credit card (automatic)
CONT407,60,C0407,One year,Yes,Bank transfer (automatic)
CONT408,32,C0408,Month-to-month,Yes,Mailed check
CONT409,1,C0409,Month-to-month,Yes,Mailed check
CONT410,1,C0410,Month-to-month,Yes,Mailed check
CONT411,3,C0411,Month-to-month,Yes,Electronic check
CONT412,46,C0412,One year,Yes,Bank transfer (automatic)
CONT413,29,C0413,Month-to-month,Yes,Electronic check
CONT414,51,C0414,Month-to-month,Yes,Electronic check
CONT415,48,C0415,Month-to-month,Yes,Bank transfer (automatic)
CONT416,16,C0416,Month-to-month,No,Bank transfer (automatic)
CONT417,70,C0417,Two year,Yes,Bank transfer (automatic)
CONT418,40,C0418,Two year,Yes,Mailed check
CONT419,22,C0419,Month-to-month,No,Electronic check
CONT420,1,C0420,Month-to-month,Yes,Bank transfer (automatic)
CONT421,5,C0421,Month-to-month,Yes,Mailed check
CONT422,7,C0422,Month-to-month,Yes,Bank transfer (automatic)
CONT423,29,C0423,One year,No,Credit card (automatic)
CONT424,44,C0424,One year,No,Mailed check
CONT425,10,C0425,Month-to-month,No,Bank transfer (automatic)
CONT426,55,C0426,Month-to-month,No,Bank transfer (automatic)
CONT427,52,C0427,One year,Yes,Bank transfer (automatic)
CONT428,10,C0428,Month-to-month,No,Electronic check
CONT429,18,C0429,Month-to-month,Yes,Bank transfer (automatic)
CONT430,68,C0430,One year,No,Bank transfer (automatic)
CONT431,61,C0431,Month-to-month,Yes,Mailed check
CONT432,72,C0432,Two year,Yes,Credit card (automatic)
CONT433,2,C0433,Month-to-month,No,Electronic check
CONT434,12,C0434,Month-to-month,Yes,Bank transfer (automatic)
CONT435,41,C0435,Two year,Yes,Electronic check
CONT436,26,C0436,Month-to-month,Yes,Credit card (automatic)
CONT437,36,C0437,One year,No,Bank transfer (automatic)
CONT438,72,C0438,Two year,Yes,Credit card (automatic)
CONT439,35,C0439,Month-to-month,Yes,Bank transfer (automatic)
CONT440,1,C0440,Month-to-month,No,Mailed check
CONT441,16,C0441,Month-to-month,Yes,Electronic check
CONT442,49,C0442,Month-to-month,No,Credit card (automatic)
CONT443,54,C0443,One year,Yes,Mailed check
CONT444,18,C0444,Month-to-month,No,Electronic check
CONT445,36,C0445,Month-to-month,No,Electronic check
CONT446,60,C0446,Month-to-month,Yes,Electronic check
CONT447,1,C0447,Month-to-month,No,Mailed check
CONT448,52,C0448,Two year,Yes,Bank transfer (automatic)
CONT449,8,C0449,Month-to-month,Yes,Electronic check
CONT450,72,C0450,Two year,No,Bank transfer (automatic)
CONT451,64,C0451,One year,No,Mailed check
CONT452,22,C0452,Month-to-month,Yes,Mailed check
CONT453,60,C0453,Month-to-month,Yes,Bank transfer (automatic)
CONT454,28,C0454,Month-to-month,Yes,Electronic check
CONT455,61,C0455,Two year,No,Mailed check
CONT456,24,C0456,Month-to-month,Yes,Electronic check
CONT457,28,C0457,One year,No,Bank transfer (automatic)
CONT458,30,C0458,Two year,No,Bank transfer (automatic)
CONT459,2,C0459,Month-to-month,No,Mailed check
CONT460,1,C0460,Month-to-month,Yes,Electronic check
CONT461,6,C0461,Month-to-month,No,Mailed check
CONT462,24,C0462,Month-to-month,Yes,Bank transfer (automatic)
CONT463,4,C0463,Month-to-month,No,Electronic check
CONT464,7,C0464,Month-to-month,Yes,Electronic check
CONT465,72,C0465,Two year,Yes,Bank transfer (automatic)
CONT466,70,C0466,Two year,Yes,Mailed check
CONT467,64,C0467,Two year,No,Electronic check
CONT468,72,C0468,One year,Yes,Electronic check
CONT469,44,C0469,Two year,No,Mailed check
CONT470,13,C0470,Month-to-month,No,Electronic check
CONT471,17,C0471,One year,No,Mailed check
CONT472,1,C0472,Month-to-month,Yes,Electronic check
CONT473,9,C0473,Month-to-month,Yes,Mailed check
CONT474,24,C0474,Month-to-month,No,Mailed check
CONT475,1,C0475,Month-to-month,Yes,Electronic check
CONT476,24,C0476,Month-to-month,Yes,Electronic check
CONT477,35,C0477,Month-to-month,Yes,Electronic check
CONT478,7,C0478,Month-to-month,Yes,Electronic check
CONT479,5,C0479,Month-to-month,Yes,Electronic check
CONT480,15,C0480,Month-to-month,No,Bank transfer (automatic)
CONT481,11,C0481,Two year,No,Mailed check
CONT482,48,C0482,Month-to-month,Yes,Bank transfer (automatic)
CONT483,20,C0483,Month-to-month,Yes,Electronic check
CONT484,72,C0484,One year,Yes,Bank transfer (automatic)
CONT485,8,C0485,Month-to-month,Yes,Electronic check
CONT486,72,C0486,Two year,Yes,Credit card (automatic)
CONT487,15,C0487,Month-to-month,Yes,Electronic check
CONT488,72,C0488,Two year,Yes,Bank transfer (automatic)
CONT489,0,C0489,Two year,Yes,Bank transfer (automatic)
CONT490,1,C0490,Month-to-month,Yes,Electronic check
CONT491,63,C0491,Two year,Yes,Bank transfer (automatic)
CONT492,2,C0492,Month-to-month,Yes,Electronic check
CONT493,2,C0493,Month-to-month,Yes,Electronic check
CONT494,61,C0494,One year,No,Bank transfer (automatic)
CONT495,1,C0495,Month-to-month,No,Mailed check
CONT496,22,C0496,One year,Yes,Bank transfer (automatic)
CONT497,28,C0497,Month-to-month,No,Mailed check
CONT498,70,C0498,Two year,No,Bank transfer (automatic)
