CustomerID,gender,SeniorCitizen,Partner,Dependents,tenure
C0208,Male,0,No,No,1
C0209,Female,0,No,No,19
C0210,Male,0,Yes,No,64
C0211,Male,0,No,No,2
C0212,Female,0,No,No,1
C0213,Male,0,No,Yes,61
C0214,Female,0,Yes,Yes,29
C0215,Male,1,Yes,No,23
C0216,Female,0,Yes,No,57
C0217,Male,0,Yes,Yes,72
C0218,Male,0,Yes,No,66
C0219,Male,0,Yes,Yes,65
C0220,Female,0,No,No,8
C0221,Female,0,No,No,4
C0222,Female,0,Yes,No,71
C0223,Male,0,Yes,Yes,1
C0224,Male,0,Yes,No,4
C0225,Female,0,No,No,12
C0226,Male,0,No,No,24
C0227,Female,0,Yes,Yes,31
C0228,Female,0,Yes,No,1
C0229,Male,0,No,No,30
C0230,Female,0,Yes,Yes,47
C0231,Male,0,No,No,54
C0232,Male,0,No,No,50
C0233,Male,0,No,No,1
C0234,Female,0,No,No,72
C0235,Female,0,No,No,29
C0236,Male,0,No,No,2
C0237,Female,0,No,No,10
C0238,Male,0,Yes,No,18
C0239,Female,1,No,No,11
C0240,Male,0,No,No,16
C0241,Female,0,No,No,72
C0242,Male,0,No,No,72
C0243,Female,0,Yes,Yes,41
C0244,Female,1,Yes,No,65
C0245,Female,1,No,No,13
C0246,Male,1,No,No,4
C0247,Male,0,No,No,41
C0248,Male,1,No,No,15
C0249,Male,0,No,No,1
C0250,Male,0,No,No,42
C0251,Female,0,Yes,No,51
C0252,Female,0,Yes,Yes,2
C0253,Male,1,Yes,No,1
C0254,Male,0,No,Yes,32
C0255,Male,0,No,No,10
C0256,Female,0,Yes,Yes,67
C0257,Female,0,Yes,Yes,61
C0258,Male,0,No,No,50
C0259,Female,0,Yes,No,2
C0260,Female,1,Yes,No,29
C0261,Male,1,No,No,3
C0262,Male,1,No,No,13
C0263,Male,1,Yes,No,57
C0264,Female,0,No,No,31
C0265,Female,0,Yes,No,45
C0266,Female,0,Yes,Yes,61
C0267,Male,0,No,No,50
C0268,Female,1,No,No,19
C0269,Male,0,No,No,59
C0270,Female,0,Yes,No,71
C0271,Female,1,No,No,16
C0272,Male,0,Yes,No,57
C0273,Male,0,No,No,1
C0274,Male,1,Yes,No,20
C0275,Male,0,No,No,1
C0276,Male,0,Yes,No,5
C0277,Female,0,Yes,No,52
C0278,Male,1,Yes,No,21
C0279,Male,0,No,No,14
C0280,Female,0,No,No,5
C0281,Female,0,No,No,6
C0282,Female,0,No,No,10
C0283,Female,0,No,Yes,1
C0284,Female,0,No,No,68
C0285,Male,0,Yes,Yes,18
C0286,Female,0,No,No,22
C0287,Female,0,No,No,20
C0288,Male,0,Yes,No,1
C0289,Male,1,No,No,8
C0290,Male,0,No,No,10
C0291,Male,1,No,No,24
C0292,Male,0,No,No,35
C0293,Male,0,Yes,Yes,23
C0294,Female,1,No,No,6
C0295,Female,0,No,No,12
C0296,Male,0,No,No,1
C0297,Female,0,Yes,Yes,71
C0298,Male,1,Yes,No,35
C0299,Male,0,Yes,Yes,40
C0300,Female,0,No,Yes,1
C0301,Male,0,No,No,23
C0302,Female,1,No,No,4
C0303,Male,0,No,No,4
C0304,Female,0,Yes,Yes,68
C0305,Male,0,No,Yes,38
C0306,Male,0,Yes,Yes,52
C0307,Male,1,Yes,No,32
C0308,Male,0,Yes,Yes,29
C0309,Male,1,Yes,Yes,38
C0310,Male,0,No,Yes,48
C0311,Female,0,No,No,1
C0312,Female,0,No,No,22
C0313,Female,0,No,No,43
C0314,Female,1,Yes,No,5
C0315,Male,0,No,No,5
C0316,Male,0,Yes,Yes,51
C0317,Male,0,No,No,71
C0318,Female,0,Yes,Yes,38
C0319,Male,1,Yes,No,24
C0320,Male,0,Yes,No,35
C0321,Female,1,No,No,54
C0322,Female,0,Yes,Yes,72
C0323,Male,0,No,No,1
C0324,Female,0,Yes,Yes,9
C0325,Male,0,No,No,69
C0326,Female,0,Yes,No,52
C0327,Female,1,Yes,No,11
C0328,Female,1,No,No,2
C0329,Female,1,Yes,Yes,28
C0330,Female,1,No,No,17
C0331,Female,0,Yes,Yes,35
C0332,Female,0,No,No,8
C0333,Male,0,No,No,46
C0334,Female,0,No,No,7
C0335,Female,0,No,No,2
C0336,Male,0,Yes,Yes,68
C0337,Female,0,No,No,43
C0338,Female,0,No,No,68
C0339,Female,0,No,No,36
C0340,Male,0,Yes,No,63
C0341,Female,1,No,No,32
C0342,Female,0,Yes,No,71
C0343,Female,0,Yes,Yes,66
C0344,Male,0,No,No,63
C0345,Female,0,No,Yes,41
C0346,Female,1,No,No,1
C0347,Female,0,No,No,2
C0348,Female,0,Yes,No,70
C0349,Female,0,No,No,23
C0350,Female,1,Yes,No,64
C0351,Male,0,Yes,Yes,37
C0352,Male,0,No,Yes,17
C0353,Female,1,No,No,7
C0354,Male,0,Yes,Yes,4
C0355,Female,1,No,No,21
C0356,Female,0,No,No,10
C0357,Female,1,No,No,16
C0358,Male,0,Yes,No,64
C0359,Male,1,Yes,No,27
C0360,Male,0,Yes,Yes,42
C0361,Male,0,No,Yes,5
C0362,Female,0,No,No,41
C0363,Male,0,Yes,No,58
C0364,Female,0,No,No,47
C0365,Male,0,No,No,18
C0366,Male,0,No,No,5
C0367,Male,0,Yes,No,23
C0368,Female,0,No,No,1
C0369,Male,0,Yes,No,71
C0370,Male,0,Yes,Yes,72
C0371,Male,0,Yes,Yes,33
C0372,Male,0,No,No,2
C0373,Male,0,No,Yes,24
C0374,Female,0,Yes,Yes,56
C0375,Male,0,No,No,37
C0376,Female,0,No,No,43
C0377,Male,0,No,No,1
C0378,Female,0,Yes,No,25
C0379,Female,0,No,No,61
C0380,Male,0,No,No,17
C0381,Female,0,Yes,No,41
C0382,Male,0,No,No,1
C0383,Male,1,Yes,Yes,72
C0384,Male,0,No,No,1
C0385,Male,0,No,No,48
C0386,Male,1,Yes,No,11
C0387,Female,1,Yes,No,55
C0388,Female,0,No,No,42
C0389,Male,0,No,No,44
C0390,Male,0,No,Yes,1
C0391,Female,0,No,No,27
C0392,Male,1,Yes,No,27
C0393,Female,1,No,No,2
C0394,Female,0,No,No,19
C0395,Female,1,Yes,No,42
C0396,Female,0,No,No,66
C0397,Male,1,Yes,No,33
C0398,Female,0,No,No,34
C0399,Male,1,No,No,33
C0400,Female,0,Yes,Yes,23
C0401,Female,0,No,No,32
C0402,Female,0,No,No,11
C0403,Male,0,Yes,Yes,69
C0404,Female,0,Yes,No,68
C0405,Male,0,No,No,20
C0406,Male,0,No,No,72
C0407,Male,0,Yes,Yes,60
C0408,Male,1,Yes,Yes,32
C0409,Female,0,No,No,1
C0410,Male,0,No,No,1
C0411,Male,1,No,No,3
C0412,Female,0,Yes,No,46
C0413,Female,0,Yes,No,29
C0414,Male,0,No,No,51
C0415,Female,1,Yes,No,48
C0416,Female,0,Yes,Yes,16
C0417,Male,0,Yes,No,70
C0418,Female,0,Yes,Yes,40
C0419,Female,0,Yes,Yes,22
C0420,Female,1,No,No,1
C0421,Female,0,Yes,Yes,5
C0422,Female,0,No,No,7
C0423,Male,0,No,Yes,29
C0424,Male,0,Yes,Yes,44
C0425,Female,0,No,No,10
C0426,Female,1,Yes,No,55
C0427,Male,1,Yes,No,52
C0428,Female,0,Yes,Yes,10
C0429,Male,0,No,No,18
C0430,Female,0,Yes,No,68
C0431,Female,0,Yes,Yes,61
C0432,Female,0,Yes,Yes,72
C0433,Male,0,No,No,2
C0434,Male,0,No,No,12
C0435,Male,0,Yes,No,41
C0436,Female,0,No,No,26
C0437,Male,0,Yes,No,36
C0438,Male,0,Yes,Yes,72
C0439,Male,0,Yes,No,35
C0440,Male,0,No,No,1
C0441,Female,0,Yes,Yes,16
C0442,Female,1,No,No,49
C0443,Female,0,Yes,No,54
C0444,Female,0,No,Yes,18
C0445,Female,0,Yes,No,36
C0446,Female,0,No,No,60
C0447,Female,0,No,No,1
C0448,Female,0,Yes,Yes,52
C0449,Male,0,Yes,Yes,8
C0450,Male,0,Yes,Yes,72
C0451,Female,0,No,No,64
C0452,Female,1,No,No,22
C0453,Male,0,Yes,No,60
C0454,Female,0,Yes,Yes,28
C0455,Female,0,Yes,No,61
C0456,Female,0,No,No,24
C0457,Male,0,Yes,Yes,28
C0458,Female,0,Yes,Yes,30
C0459,Male,0,Yes,No,2
C0460,Male,0,No,No,1
C0461,Male,0,No,Yes,6
C0462,Female,0,Yes,No,24
C0463,Male,0,Yes,Yes,4
C0464,Male,0,No,No,7
C0465,Male,1,Yes,No,72
C0466,Male,0,No,No,70
C0467,Male,1,Yes,No,64
C0468,Male,0,Yes,Yes,72
C0469,Female,0,No,Yes,44
C0470,Female,0,Yes,Yes,13
C0471,Female,1,No,No,17
C0472,Male,0,No,No,1
C0473,Male,0,Yes,No,9
C0474,Male,0,Yes,No,24
C0475,Female,0,Yes,Yes,1
C0476,Male,0,No,No,24
C0477,Male,1,Yes,Yes,35
C0478,Female,0,Yes,Yes,7
C0479,Male,0,No,No,5
C0480,Female,0,No,Yes,15
C0481,Male,0,Yes,Yes,11
C0482,Female,0,Yes,No,48
C0483,Female,1,No,No,20
C0484,Female,0,Yes,No,72
C0485,Female,0,Yes,Yes,8
C0486,Male,0,Yes,Yes,72
C0487,Female,0,No,No,15
C0488,Male,0,No,No,72
C0489,Female,0,Yes,Yes,0
C0490,Male,0,No,Yes,1
C0491,Male,0,Yes,Yes,63
C0492,Female,0,No,No,2
C0493,Female,0,Yes,No,2
C0494,Male,1,Yes,No,61
C0495,Male,0,No,No,1
C0496,Male,0,No,No,22
C0497,Male,0,Yes,No,28
C0498,Female,0,Yes,No,70
C0499,Female,1,No,No,5
C0500,Female,0,No,No,12
C0501,Male,0,No,No,34
C0502,Female,1,Yes,No,71
C0503,Female,0,Yes,Yes,70
C0504,Female,0,Yes,Yes,52
C0505,Male,0,No,Yes,69
C0506,Female,1,No,No,20
C0507,Male,0,No,Yes,11
C0508,Male,0,Yes,No,2
C0509,Female,0,Yes,Yes,6
C0510,Female,0,No,No,1
C0511,Male,1,Yes,Yes,20
C0512,Male,0,No,No,61
C0513,Female,1,Yes,No,5
C0514,Female,0,No,No,56
C0515,Male,0,No,No,30
C0516,Male,0,No,No,40
C0517,Female,0,No,No,28
C0518,Female,1,Yes,No,5
C0519,Female,1,Yes,No,27
C0520,Male,0,No,No,12
C0521,Male,0,Yes,Yes,67
C0522,Male,1,Yes,No,29
C0523,Male,0,Yes,Yes,55
C0524,Female,0,No,No,23
C0525,Male,0,Yes,No,34
C0526,Male,0,No,No,52
C0527,Male,1,Yes,Yes,72
C0528,Male,0,Yes,Yes,58
C0529,Male,0,Yes,Yes,35
C0530,Female,1,No,No,56
C0531,Female,0,Yes,Yes,24
C0532,Male,0,Yes,Yes,70
C0533,Male,0,No,No,2
C0534,Male,1,Yes,Yes,68
C0535,Female,0,No,No,1
C0536,Male,0,No,No,12
C0537,Female,0,Yes,No,63
C0538,Female,0,Yes,Yes,33
C0539,Female,0,Yes,No,69
C0540,Female,0,Yes,Yes,60
C0541,Female,0,Yes,Yes,72
C0542,Female,0,No,No,11
C0543,Female,0,No,No,1
C0544,Male,0,No,No,10
C0545,Male,0,No,No,13
C0546,Male,0,Yes,Yes,34
C0547,Male,0,Yes,Yes,39
C0548,Female,0,No,No,65
C0549,Male,1,Yes,No,50
C0550,Male,0,No,No,15
C0551,Male,0,Yes,Yes,72
C0552,Female,0,Yes,Yes,72
C0553,Male,0,Yes,Yes,55
C0554,Female,0,Yes,Yes,23
C0555,Male,0,No,No,32
C0556,Female,0,Yes,Yes,56
C0557,Female,0,No,No,1
C0558,Male,0,No,No,38
C0559,Male,0,No,No,11
C0560,Male,0,No,No,1
C0561,Male,0,Yes,No,56
C0562,Male,0,Yes,No,3
C0563,Male,0,Yes,Yes,7
C0564,Male,0,Yes,Yes,59
C0565,Male,0,No,No,7
C0566,Male,0,Yes,Yes,71
C0567,Male,0,Yes,Yes,15
C0568,Male,0,Yes,No,71
C0569,Female,0,No,No,35
C0570,Female,0,No,No,11
C0571,Female,0,Yes,Yes,60
C0572,Male,1,No,No,47
C0573,Female,0,No,No,11
C0574,Male,0,Yes,No,56
C0575,Female,1,Yes,No,28
C0576,Male,0,Yes,No,61
C0577,Male,0,Yes,Yes,31
C0578,Male,0,No,No,9
C0579,Male,1,Yes,No,35
C0580,Male,0,No,No,2
C0581,Female,0,Yes,Yes,12
C0582,Female,0,No,No,1
C0583,Female,1,No,No,4
C0584,Female,0,Yes,Yes,1
C0585,Female,0,No,No,3
C0586,Female,1,No,No,1
C0587,Male,0,No,No,52
C0588,Male,0,Yes,Yes,5
C0589,Male,0,Yes,No,72
C0590,Male,0,Yes,Yes,71
C0591,Male,0,Yes,No,72
C0592,Male,0,Yes,Yes,46
C0593,Male,0,Yes,Yes,63
C0594,Male,0,No,No,30
C0595,Male,0,No,No,1
C0596,Female,0,No,No,12
C0597,Male,0,No,No,16
C0598,Male,0,No,No,4
C0599,Male,0,Yes,No,51
C0600,Male,0,Yes,No,65
C0601,Male,0,No,No,16
C0602,Male,0,No,No,2
C0603,Female,0,Yes,Yes,66
C0604,Male,0,No,No,46
C0605,Female,0,No,No,32
C0606,Male,0,Yes,No,72
C0607,Male,0,Yes,Yes,38
C0608,Male,0,No,Yes,51
C0609,Male,0,Yes,Yes,72
C0610,Female,1,Yes,No,65
C0611,Male,0,Yes,Yes,9
C0612,Female,0,Yes,Yes,9
C0613,Male,0,No,Yes,66
C0614,Female,1,No,No,44
C0615,Male,0,No,No,50
C0616,Female,0,No,No,15
C0617,Male,0,No,No,8
C0618,Female,1,No,No,66
C0619,Female,0,No,No,57
C0620,Female,0,No,No,7
C0621,Male,1,Yes,Yes,10
C0622,Female,0,No,No,62
C0623,Male,0,Yes,Yes,40
C0624,Female,0,No,No,20
C0625,Female,0,No,No,7
C0626,Female,0,Yes,No,25
C0627,Male,0,Yes,No,23
C0628,Female,1,Yes,No,66
C0629,Female,1,No,No,72
C0630,Male,1,Yes,No,49
C0631,Male,1,Yes,Yes,43
C0632,Female,0,Yes,No,46
C0633,Male,0,Yes,Yes,72
C0634,Male,0,No,No,10
C0635,Female,0,No,No,40
C0636,Female,0,Yes,Yes,65
C0637,Male,0,No,No,31
C0638,Female,0,Yes,No,68
C0639,Male,1,Yes,Yes,56
C0640,Male,0,Yes,No,10
C0641,Male,0,Yes,Yes,68
C0642,Female,0,Yes,Yes,43
C0643,Male,0,No,No,1
C0644,Female,1,No,No,49
C0645,Female,0,Yes,Yes,15
C0646,Male,1,Yes,No,20
C0647,Male,0,No,No,1
C0648,Male,0,Yes,Yes,50
C0649,Female,1,No,No,2
C0650,Male,1,No,No,24
C0651,Female,0,No,No,3
C0652,Female,0,No,No,1
C0653,Male,0,Yes,Yes,35
C0654,Female,0,No,No,17
C0655,Female,1,No,No,8
C0656,Male,0,No,No,10
C0657,Male,0,Yes,Yes,68
C0658,Male,0,Yes,No,45
C0659,Male,0,Yes,Yes,2
C0660,Male,0,Yes,No,37
C0661,Female,0,No,No,4
C0662,Female,0,No,No,10
C0663,Male,0,No,No,1
C0664,Male,0,Yes,Yes,65
C0665,Female,0,Yes,Yes,57
C0666,Female,0,No,No,3
C0667,Female,0,No,No,2
C0668,Male,0,No,No,49
C0669,Female,0,No,No,4
C0670,Female,0,Yes,No,70
C0671,Female,0,Yes,Yes,53
C0672,Male,0,Yes,Yes,53
C0673,Female,0,No,No,1
C0674,Male,0,No,No,22
C0675,Male,1,No,No,52
C0676,Male,1,No,No,65
C0677,Female,0,No,No,48
C0678,Female,0,No,No,2
C0679,Male,0,No,No,3
C0680,Male,0,Yes,No,45
C0681,Male,0,Yes,Yes,1
C0682,Female,0,Yes,Yes,61
C0683,Male,0,No,No,3
C0684,Female,1,No,No,40
C0685,Female,0,No,No,1
C0686,Female,0,No,No,1
C0687,Male,0,No,No,51
C0688,Male,1,No,No,2
C0689,Male,0,No,No,52
C0690,Male,0,No,No,51
C0691,Male,0,No,No,1
C0692,Male,0,Yes,Yes,31
C0693,Male,0,No,Yes,47
C0694,Female,0,No,No,3
C0695,Female,1,No,No,22
C0696,Female,0,Yes,No,1
C0697,Male,0,Yes,No,72
C0698,Male,0,Yes,Yes,3
C0699,Male,1,Yes,Yes,47
C0700,Male,0,Yes,Yes,72
C0701,Male,0,Yes,Yes,66
C0702,Male,0,No,No,35
C0703,Male,0,No,No,29
C0704,Female,0,No,No,2
C0705,Male,0,No,No,4
C0706,Female,0,No,No,25
C0707,Female,0,No,No,65
C0708,Male,1,No,No,27
C0709,Male,0,Yes,No,29
C0710,Male,0,Yes,Yes,29
C0711,Male,0,No,No,1
C0712,Female,0,Yes,No,20
C0713,Female,0,No,No,58
C0714,Female,0,No,Yes,14
C0715,Male,0,Yes,No,72
C0716,Male,0,No,No,46
C0717,Female,0,Yes,No,71
C0718,Male,0,No,No,32
C0719,Female,0,No,No,26
C0720,Male,1,Yes,No,68
C0721,Male,0,Yes,Yes,2
C0722,Male,0,Yes,Yes,61
C0723,Female,0,Yes,Yes,4
C0724,Male,0,No,No,3
C0725,Male,1,Yes,No,33
C0726,Male,1,Yes,No,9
C0727,Female,0,No,No,22
C0728,Female,0,Yes,Yes,5
C0729,Female,1,No,No,30
C0730,Male,0,No,No,65
C0731,Female,0,No,No,45
C0732,Male,0,No,No,5
C0733,Male,0,Yes,Yes,25
C0734,Female,0,Yes,Yes,72
C0735,Female,0,Yes,No,27
C0736,Male,0,Yes,Yes,32
C0737,Female,0,No,No,30
C0738,Male,0,Yes,No,70
C0739,Male,1,No,No,42
C0740,Female,1,Yes,No,72
C0741,Female,0,No,No,47
C0742,Female,0,No,No,2
C0743,Male,0,No,No,10
C0744,Female,0,Yes,Yes,61
C0745,Female,0,No,No,5
C0746,Female,1,Yes,No,72
C0747,Male,1,Yes,Yes,72
C0748,Female,1,No,No,3
C0749,Male,0,Yes,No,48
C0750,Female,0,No,No,63
C0751,Female,0,No,No,27
C0752,Male,0,Yes,Yes,70
C0753,Male,0,Yes,Yes,7
C0754,Male,0,No,Yes,0
C0755,Female,0,Yes,No,2
C0756,Male,1,No,No,20
C0757,Male,0,No,No,66
C0758,Female,0,No,No,3
C0759,Female,0,No,Yes,15
C0760,Female,0,Yes,Yes,72
C0761,Male,0,No,No,1
C0762,Female,0,No,No,22
C0763,Male,0,Yes,No,3
C0764,Female,0,Yes,Yes,72
C0765,Male,0,Yes,Yes,65
C0766,Female,0,No,No,11
C0767,Male,0,No,No,22
C0768,Male,0,No,No,14
C0769,Male,0,No,No,41
C0770,Male,0,Yes,No,17
C0771,Male,0,No,No,11
C0772,Male,0,No,No,15
C0773,Female,0,No,No,1
C0774,Female,0,Yes,No,5
C0775,Male,0,Yes,No,33
C0776,Female,0,Yes,No,72
C0777,Female,0,Yes,Yes,3
C0778,Male,0,No,No,2
C0779,Female,0,Yes,No,59
C0780,Male,0,No,No,2
C0781,Male,0,Yes,Yes,71
C0782,Female,0,Yes,Yes,5
C0783,Male,0,Yes,Yes,27
C0784,Female,0,No,No,1
C0785,Male,0,No,Yes,63
C0786,Female,1,No,No,46
C0787,Male,0,Yes,Yes,72
C0788,Female,0,Yes,No,34
C0789,Female,0,Yes,Yes,24
C0790,Male,0,No,No,72
C0791,Female,0,Yes,Yes,60
C0792,Male,0,No,No,68
C0793,Female,0,Yes,Yes,8
C0794,Female,0,No,Yes,34
C0795,Female,0,No,No,6
C0796,Male,0,Yes,No,2
C0797,Male,0,No,No,31
C0798,Female,0,Yes,Yes,20
C0799,Female,0,Yes,Yes,1
C0800,Male,0,No,No,62
C0801,Female,1,Yes,No,70
C0802,Female,0,No,No,10
C0803,Male,0,Yes,Yes,39
C0804,Female,0,Yes,No,46
C0805,Male,0,No,No,6
C0806,Female,0,Yes,Yes,72
C0807,Male,0,No,No,18
C0808,Male,0,Yes,No,71
C0809,Male,0,Yes,No,40
C0810,Male,0,No,No,1
C0811,Male,0,No,No,58
C0812,Male,0,No,No,70
C0813,Female,0,Yes,No,42
C0814,Male,0,Yes,Yes,34
C0815,Male,1,No,No,5
C0816,Female,0,No,No,25
C0817,Female,0,No,No,2
C0818,Female,0,Yes,Yes,55
C0819,Male,0,Yes,No,21
C0820,Male,0,Yes,No,70
C0821,Female,0,Yes,No,61
C0822,Male,0,Yes,Yes,43
C0823,Male,0,No,No,47
C0824,Male,0,No,No,5
C0825,Female,0,No,No,62
C0826,Female,0,Yes,Yes,16
C0827,Male,1,Yes,No,7
C0828,Female,0,Yes,Yes,14
C0829,Male,0,Yes,Yes,60
C0830,Male,0,Yes,Yes,34
C0831,Female,0,Yes,No,50
C0832,Male,0,Yes,Yes,38
C0833,Female,0,Yes,Yes,70
C0834,Female,0,Yes,Yes,37
C0835,Female,1,No,No,4
C0836,Male,1,Yes,Yes,60
C0837,Male,0,Yes,Yes,62
C0838,Male,0,No,No,1
