customerID,Subscription_ID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
C0235,SUB235,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0236,SUB236,Yes,Yes,DSL,No,Yes,No,No,No,No
C0237,SUB237,No,No phone service,DSL,No,No,No,Yes,No,No
C0238,SUB238,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0239,SUB239,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
C0240,SUB240,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0241,SUB241,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
C0242,SUB242,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
C0243,SUB243,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
C0244,SUB244,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
C0245,SUB245,Yes,No,DSL,No,Yes,Yes,No,No,No
C0246,SUB246,Yes,No,Fiber optic,Yes,No,No,No,No,No
C0247,SUB247,Yes,Yes,DSL,No,No,Yes,No,No,Yes
C0248,SUB248,Yes,No,Fiber optic,No,Yes,No,No,No,No
C0249,SUB249,Yes,No,DSL,Yes,No,No,No,No,No
C0250,SUB250,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
C0251,SUB251,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
C0252,SUB252,Yes,No,Fiber optic,No,No,No,No,No,No
C0253,SUB253,No,No phone service,DSL,No,Yes,No,No,Yes,No
C0254,SUB254,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
C0255,SUB255,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0256,SUB256,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
C0257,SUB257,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
C0258,SUB258,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
C0259,SUB259,Yes,No,DSL,No,No,No,No,No,No
C0260,SUB260,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
C0261,SUB261,No,No phone service,DSL,No,No,Yes,No,No,Yes
C0262,SUB262,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0263,SUB263,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
C0264,SUB264,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
C0265,SUB265,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
C0266,SUB266,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0267,SUB267,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0268,SUB268,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
C0269,SUB269,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0270,SUB270,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0271,SUB271,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
C0272,SUB272,Yes,No,DSL,Yes,Yes,No,Yes,No,No
C0273,SUB273,No,No phone service,DSL,No,No,No,No,No,No
C0274,SUB274,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
C0275,SUB275,Yes,No,Fiber optic,No,No,No,No,No,No
C0276,SUB276,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
C0277,SUB277,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0278,SUB278,Yes,No,DSL,Yes,Yes,No,No,No,Yes
C0279,SUB279,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes
C0280,SUB280,Yes,No,DSL,No,Yes,No,No,No,No
C0281,SUB281,Yes,No,DSL,Yes,Yes,No,No,No,No
C0282,SUB282,Yes,No,DSL,No,Yes,No,No,No,No
C0283,SUB283,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0284,SUB284,Yes,Yes,DSL,Yes,No,No,No,No,No
C0285,SUB285,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
C0286,SUB286,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0287,SUB287,Yes,No,DSL,No,No,No,No,No,No
C0288,SUB288,Yes,No,Fiber optic,No,No,No,No,No,No
C0289,SUB289,Yes,No,Fiber optic,No,Yes,No,No,No,No
C0290,SUB290,Yes,No,DSL,No,No,No,No,No,No
C0291,SUB291,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0292,SUB292,Yes,No,DSL,Yes,Yes,Yes,No,No,No
C0293,SUB293,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
C0294,SUB294,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
C0295,SUB295,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0296,SUB296,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0297,SUB297,Yes,No,Fiber optic,No,No,Yes,No,No,No
C0298,SUB298,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
C0299,SUB299,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
C0300,SUB300,Yes,No,Fiber optic,Yes,No,No,No,No,No
C0301,SUB301,Yes,No,DSL,No,No,No,No,Yes,Yes
C0302,SUB302,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
C0303,SUB303,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
C0304,SUB304,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
C0305,SUB305,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
C0306,SUB306,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0307,SUB307,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0308,SUB308,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
C0309,SUB309,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
C0310,SUB310,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
C0311,SUB311,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0312,SUB312,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
C0313,SUB313,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
C0314,SUB314,Yes,No,Fiber optic,No,No,No,No,No,No
C0315,SUB315,Yes,No,Fiber optic,No,No,No,No,Yes,No
C0316,SUB316,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
C0317,SUB317,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0318,SUB318,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
C0319,SUB319,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
C0320,SUB320,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
C0321,SUB321,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
C0322,SUB322,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
C0323,SUB323,Yes,No,DSL,No,No,No,No,No,No
C0324,SUB324,Yes,No,DSL,Yes,No,No,No,No,No
C0325,SUB325,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
C0326,SUB326,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
C0327,SUB327,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
C0328,SUB328,Yes,No,Fiber optic,No,No,No,No,No,No
C0329,SUB329,No,No phone service,DSL,No,No,No,No,Yes,No
C0330,SUB330,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
C0331,SUB331,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0332,SUB332,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
C0333,SUB333,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
C0334,SUB334,Yes,Yes,Fiber optic,No,No,No,No,No,No
C0335,SUB335,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
C0336,SUB336,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
C0337,SUB337,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0338,SUB338,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
C0339,SUB339,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
C0340,SUB340,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
C0341,SUB341,Yes,No,DSL,No,Yes,No,Yes,No,No
C0342,SUB342,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
