CustomerID,Billing_ID,MonthlyCharges,TotalCharges
C0500,BILL500,99.7,1238.45
C0501,BILL501,116.25,3899.05
C0502,BILL502,80.7,5676
C0503,BILL503,65.2,4543.15
C0504,BILL504,84.05,4326.8
C0505,BILL505,79.45,5502.55
C0506,BILL506,94.1,1782.4
C0507,BILL507,78,851.8
C0508,BILL508,94.2,167.5
C0509,BILL509,80.5,502.85
C0510,BILL510,19.85,19.85
C0511,BILL511,94.3,1818.3
C0512,BILL512,106.45,6300.15
C0513,BILL513,74.35,334.8
C0514,BILL514,105.45,5916.95
C0515,BILL515,95,2852.4
C0516,BILL516,104.8,4131.95
C0517,BILL517,54.3,1546.3
C0518,BILL518,70.05,302.6
C0519,BILL519,75.2,1929.35
C0520,BILL520,20.05,265.45
C0521,BILL521,105.4,6989.45
C0522,BILL522,51.6,1442
C0523,BILL523,85.5,4713.4
C0524,BILL524,75.6,1758.6
C0525,BILL525,100.05,3480
C0526,BILL526,91.25,4738.3
C0527,BILL527,115.75,8399.15
C0528,BILL528,94.7,5430.35
C0529,BILL529,19.6,686.95
C0530,BILL530,99.9,5706.3
C0531,BILL531,21.1,490.65
C0532,BILL532,20.05,1360.25
C0533,BILL533,79.95,174.45
C0534,BILL534,107.15,7379.8
C0535,BILL535,85,85
C0536,BILL536,89.55,1021.75
C0537,BILL537,81.55,5029.05
C0538,BILL538,58.45,1955.4
C0539,BILL539,95.65,6744.2
C0540,BILL540,80.6,4946.7
C0541,BILL541,113.1,8248.5
C0542,BILL542,58.95,601.6
C0543,BILL543,19.55,19.55
C0544,BILL544,86.05,834.1
C0545,BILL545,45.55,597
C0546,BILL546,78.95,2647.2
C0547,BILL547,86.3,3266
C0548,BILL548,105.05,6744.25
C0549,BILL549,101.9,5265.5
C0550,BILL550,19.75,311.6
C0551,BILL551,110.3,7966.9
C0552,BILL552,115.6,8220.4
C0553,BILL553,19.35,1153.25
C0554,BILL554,25.6,514.75
C0555,BILL555,80.35,2596.15
C0556,BILL556,68.75,3808
C0557,BILL557,19.9,19.9
C0558,BILL558,70.6,2708.2
C0559,BILL559,70.2,760.05
C0560,BILL560,49.3,49.3
C0561,BILL561,107.25,6033.3
C0562,BILL562,23.6,89.05
C0563,BILL563,69.7,516.15
C0564,BILL564,99.5,5861.75
C0565,BILL565,64.3,445.95
C0566,BILL566,70.85,4973.4
C0567,BILL567,101.9,1667.25
C0568,BILL568,73.5,5357.75
C0569,BILL569,100.25,3527.6
C0570,BILL570,40.4,422.6
C0571,BILL571,19.25,1103.25
C0572,BILL572,59.6,2754
C0573,BILL573,64.9,697.25
C0574,BILL574,100.3,5614.45
C0575,BILL575,110.85,3204.4
C0576,BILL576,81.05,4747.65
C0577,BILL577,98.05,3082.1
C0578,BILL578,70.5,597.9
C0579,BILL579,94.55,3365.4
C0580,BILL580,19.65,38.8
C0581,BILL581,19,233.55
C0582,BILL582,75.3,75.3
C0583,BILL583,89.2,346.2
C0584,BILL584,19,19
C0585,BILL585,20,61.7
C0586,BILL586,85.7,85.7
C0587,BILL587,63.25,3342.45
C0588,BILL588,20.1,85.1
C0589,BILL589,99.15,7422.1
C0590,BILL590,90.4,6668.05
C0591,BILL591,111.9,8071.05
C0592,BILL592,24.9,1174.8
C0593,BILL593,83.5,5435
C0594,BILL594,84.3,2438.6
C0595,BILL595,45.6,45.6
C0596,BILL596,61.65,713.75
C0597,BILL597,54.85,916.15
C0598,BILL598,65.55,237.2
C0599,BILL599,90.35,4614.55
C0600,BILL600,20.4,1414.45
C0601,BILL601,74.55,1170.5
C0602,BILL602,19.95,47.7
C0603,BILL603,74.25,4859.25
C0604,BILL604,108.65,4903.2
C0605,BILL605,109.55,3608
C0606,BILL606,86.65,6094.25
C0607,BILL607,81,3084.9
C0608,BILL608,47.85,2356.75
C0609,BILL609,114.55,8306.05
C0610,BILL610,105.25,6786.4
C0611,BILL611,29.95,248.95
C0612,BILL612,65,663.05
C0613,BILL613,20.55,1357.1
C0614,BILL614,109.8,4860.35
C0615,BILL615,69.5,3418.2
C0616,BILL616,48.85,631.4
C0617,BILL617,25.25,186.3
C0618,BILL618,102.85,6976.75
C0619,BILL619,87.55,4884.85
C0620,BILL620,78.55,522.95
C0621,BILL621,34.55,362.6
C0622,BILL622,92.05,5755.8
C0623,BILL623,85.05,3355.65
C0624,BILL624,19.7,406.95
C0625,BILL625,20,137.6
C0626,BILL626,95.15,2395.7
C0627,BILL627,84.25,1968.1
C0628,BILL628,104.6,6819.45
C0629,BILL629,111.65,7943.45
C0630,BILL630,90.05,4547.25
C0631,BILL631,110.75,4687.9
C0632,BILL632,55,2473.95
C0633,BILL633,89.85,6562.9
C0634,BILL634,20.35,176.3
C0635,BILL635,54.55,2236.2
C0636,BILL636,105.5,6985.65
C0637,BILL637,99.45,3109.9
C0638,BILL638,70.9,4911.35
C0639,BILL639,104.55,5794.65
C0640,BILL640,85.25,855.3
C0641,BILL641,25.4,1620.2
C0642,BILL642,56.15,2499.3
C0643,BILL643,89.55,89.55
C0644,BILL644,89.85,4287.2
C0645,BILL645,25.25,394.85
C0646,BILL646,94.55,1899.65
C0647,BILL647,45.7,45.7
C0648,BILL648,69.65,3442.15
C0649,BILL649,89.5,161.5
C0650,BILL650,70,1732.6
C0651,BILL651,69.55,222.3
C0652,BILL652,74.6,74.6
C0653,BILL653,20.1,655.3
C0654,BILL654,24.8,475.25
C0655,BILL655,19.65,164.3
C0656,BILL656,95.1,865.1
C0657,BILL657,88.85,6132.7
C0658,BILL658,78.8,3597.5
C0659,BILL659,19.85,35.9
C0660,BILL660,20.35,697.65
C0661,BILL661,24.25,96.05
C0662,BILL662,45.25,428.7
C0663,BILL663,20.05,20.05
C0664,BILL664,69.55,4459.15
C0665,BILL665,19.5,1167.6
C0666,BILL666,74.75,238.1
C0667,BILL667,69.65,145.15
C0668,BILL668,30.2,1453.1
C0669,BILL669,45.65,191.05
C0670,BILL670,57.8,4039.3
C0671,BILL671,19.85,1039.45
C0672,BILL672,25.55,1336.1
C0673,BILL673,75.05,75.05
C0674,BILL674,24.85,493.4
C0675,BILL675,49.15,2550.9
C0676,BILL676,110.35,7246.15
C0677,BILL677,24.55,1203.95
C0678,BILL678,34.7,62.25
C0679,BILL679,107.95,313.6
C0680,BILL680,81.4,3775.85
C0681,BILL681,80,80
C0682,BILL682,73.8,4616.05
C0683,BILL683,64.4,195.65
C0684,BILL684,103.75,4188.4
C0685,BILL685,71.1,71.1
C0686,BILL686,49.9,49.9
C0687,BILL687,24.6,1266.4
C0688,BILL688,49.25,91.1
C0689,BILL689,30.1,1623.4
C0690,BILL690,83.4,4149.45
C0691,BILL691,20.45,20.45
C0692,BILL692,75.25,2344.5
C0693,BILL693,20.55,1013.05
C0694,BILL694,75.1,270.7
C0695,BILL695,20.05,417
C0696,BILL696,20.65,20.65
C0697,BILL697,85.15,6316.2
C0698,BILL698,50.15,168.15
C0699,BILL699,84.95,4018.05
C0700,BILL700,66.5,4811.6
C0701,BILL701,63.3,4189.7
C0702,BILL702,83.15,2848.45
C0703,BILL703,84.9,2516.2
C0704,BILL704,20.55,33.6
C0705,BILL705,49.25,208.45
C0706,BILL706,79.85,2015.35
C0707,BILL707,59.6,3739.8
C0708,BILL708,104.65,2964
C0709,BILL709,75.3,2263.4
C0710,BILL710,80.1,2211.8
C0711,BILL711,19.55,19.55
C0712,BILL712,81,1683.7
C0713,BILL713,24.7,1519
C0714,BILL714,86,1164.05
C0715,BILL715,25.4,1710.9
C0716,BILL716,89.15,4245.55
C0717,BILL717,58.25,4145.9
C0718,BILL718,85.65,2664.3
C0719,BILL719,50.35,1277.5
C0720,BILL720,80.35,5589.3
C0721,BILL721,20.2,34.75
C0722,BILL722,20.55,1305.95
C0723,BILL723,85.95,381.3
C0724,BILL724,45.35,141.5
C0725,BILL725,94.5,3105.55
C0726,BILL726,21.25,204.55
C0727,BILL727,26.25,605.9
C0728,BILL728,80.85,356.1
C0729,BILL729,91.7,2758.15
C0730,BILL730,74.2,4805.65
C0731,BILL731,87.25,3941.7
C0732,BILL732,20.35,92.75
C0733,BILL733,75.5,1901.05
C0734,BILL734,79.05,5730.7
C0735,BILL735,90.15,2423.4
C0736,BILL736,50.6,1653.45
C0737,BILL737,110.45,3327.05
C0738,BILL738,101,7085.5
C0739,BILL739,79.35,3344.1
C0740,BILL740,89.85,6697.35
C0741,BILL741,65,2879.9
C0742,BILL742,80.45,137.1
C0743,BILL743,98.55,1008.55
C0744,BILL744,24.1,1551.6
C0745,BILL745,44.05,202.15
C0746,BILL746,110.8,7882.25
C0747,BILL747,114.95,8196.4
C0748,BILL748,75.05,202.9
C0749,BILL749,19.25,855.1
C0750,BILL750,90.05,5817
C0751,BILL751,56.7,1652.95
C0752,BILL752,80.15,5600.15
C0753,BILL753,71.35,515.75
C0754,BILL754,20.25,780.5
C0755,BILL755,90.35,190.5
C0756,BILL756,98.55,1842.8
C0757,BILL757,19.7,1253.8
C0758,BILL758,19.85,57.2
C0759,BILL759,85.9,1269.55
C0760,BILL760,90.35,6563.4
C0761,BILL761,20.8,20.8
C0762,BILL762,89.25,1907.85
C0763,BILL763,70.3,208.85
C0764,BILL764,66.85,4758.8
C0765,BILL765,19.9,1292.6
C0766,BILL766,35.8,363.15
C0767,BILL767,78.85,1600.25
C0768,BILL768,20.4,275.7
C0769,BILL769,74.25,3089.1
C0770,BILL770,64.8,1175.6
C0771,BILL771,20.45,237.3
C0772,BILL772,93.35,1444.65
C0773,BILL773,19.9,19.9
C0774,BILL774,88.9,454.15
C0775,BILL775,95.8,3036.75
C0776,BILL776,110.65,8065.65
C0777,BILL777,40.3,92.5
C0778,BILL778,82,184.65
C0779,BILL779,107,6152.3
C0780,BILL780,45.35,89.5
C0781,BILL781,73.35,5154.5
C0782,BILL782,44.8,220.45
C0783,BILL783,54.75,1510.3
C0784,BILL784,52.2,52.2
C0785,BILL785,40.6,2588.95
C0786,BILL786,110,4874.8
C0787,BILL787,55.3,3983.6
C0788,BILL788,60.85,2003.6
C0789,BILL789,78.4,1832.4
C0790,BILL790,69.65,4908.25
C0791,BILL791,59.85,3590.2
C0792,BILL792,76.9,5023
C0793,BILL793,19.85,146.6
C0794,BILL794,67.65,2339.3
C0795,BILL795,45,298.7
C0796,BILL796,64.2,143.65
C0797,BILL797,81.7,2548.65
C0798,BILL798,25.55,507.4
C0799,BILL799,20,20
C0800,BILL800,96.75,6125.4
C0801,BILL801,75.65,5411.4
C0802,BILL802,98.5,1058.25
